sweep_group,case_id,parameter_changed,parameter_value,control_reset,notes,solve_status,Ro,Ri,h_ring,U0,Rtank,Zup,Zdown,rho_w,mu_w,Ri_over_Ro,u_mag_max,p_max_global,p_max_ring_near,vz_max_center_above,vz_avg_hole_above,Q_axisym_hole_above,x_value
U0_sweep,U0_001,U0,0.01[m/s],base parameters reset before case,,ok,20[mm],8[mm],2[mm],0.01[m/s],100[mm],120[mm],120[mm],1000[kg/m^3],1e-3[Pa*s],0.4,0.0415521962092013,303350.56281940377,158396.2071833902,0.039106053719591076,0.01562749915614762,NA,0.01
U0_sweep,U0_002,U0,0.02[m/s],base parameters reset before case,,ok,20[mm],8[mm],2[mm],0.02[m/s],100[mm],120[mm],120[mm],1000[kg/m^3],1e-3[Pa*s],0.4,0.06790171944509839,606700.6894202445,316772.6964794622,0.06414448455093157,0.030957872668407677,NA,0.02
U0_sweep,U0_005,U0,0.05[m/s],base parameters reset before case,,ok,20[mm],8[mm],2[mm],0.05[m/s],100[mm],120[mm],120[mm],1000[kg/m^3],1e-3[Pa*s],0.4,0.15455714210566404,1516731.4729772175,791736.9183904065,0.15055424421309854,0.07539988643540735,NA,0.05
U0_sweep,U0_010,U0,0.10[m/s],base parameters reset before case,,ok,20[mm],8[mm],2[mm],0.10[m/s],100[mm],120[mm],120[mm],1000[kg/m^3],1e-3[Pa*s],0.4,0.30933527807357086,3033323.189021243,1582842.2028217618,0.299981992937015,0.1343741466089863,NA,0.1
h_ring_sweep,h_001,h_ring,1[mm],base parameters reset before case,,ok,20[mm],8[mm],1[mm],0.02[m/s],100[mm],120[mm],120[mm],1000[kg/m^3],1e-3[Pa*s],0.4,0.06920130242404512,606592.4224083485,311539.02337390516,0.06668893645582415,0.03493319595475068,NA,1.0
h_ring_sweep,h_002,h_ring,2[mm],base parameters reset before case,,ok,20[mm],8[mm],2[mm],0.02[m/s],100[mm],120[mm],120[mm],1000[kg/m^3],1e-3[Pa*s],0.4,0.06790171944502796,606700.6894202225,316772.6964794841,0.06414448455094725,0.030957872659813233,NA,2.0
h_ring_sweep,h_004,h_ring,4[mm],base parameters reset before case,,ok,20[mm],8[mm],4[mm],0.02[m/s],100[mm],120[mm],120[mm],1000[kg/m^3],1e-3[Pa*s],0.4,0.06589149529237072,606425.9730352766,329339.16633229546,0.062479498288588876,0.02735670009810109,NA,4.0
Ri_Ro_sweep,ri_006,Ri,6[mm],base parameters reset before case,,ok,20[mm],6[mm],2[mm],0.02[m/s],100[mm],120[mm],120[mm],1000[kg/m^3],1e-3[Pa*s],0.3,0.07746837224294066,610303.3731442813,326099.45866734703,0.07515929950699694,0.03386704131774262,NA,0.3
Ri_Ro_sweep,ri_008,Ri,8[mm],base parameters reset before case,,ok,20[mm],8[mm],2[mm],0.02[m/s],100[mm],120[mm],120[mm],1000[kg/m^3],1e-3[Pa*s],0.4,0.06790171944502545,606700.6894202183,316772.69647942245,0.06414448455093004,0.030957872661766517,NA,0.4
Ri_Ro_sweep,ri_010,Ri,10[mm],base parameters reset before case,,ok,20[mm],10[mm],2[mm],0.02[m/s],100[mm],120[mm],120[mm],1000[kg/m^3],1e-3[Pa*s],0.5,0.061252994014935926,608110.3216612232,310900.6322835024,0.058175452395408556,0.027895941659439143,NA,0.5
Ri_Ro_sweep,ri_012,Ri,12[mm],base parameters reset before case,,ok,20[mm],12[mm],2[mm],0.02[m/s],100[mm],120[mm],120[mm],1000[kg/m^3],1e-3[Pa*s],0.6,0.056756464950653555,604366.3972505103,303926.2937655942,0.053963152033919104,0.025134532102852727,NA,0.6
