physics_tag,physics_type,physics_label,feature_tag,feature_type,feature_label,selection_boundaries,intersects_ring,active_or_solved,key_properties,property_names
spf,LaminarFlow,Laminar Flow,fp1,FluidProperties,Fluid Properties 1,[],[],True,"{""rho"": ""rho_air+(rho_w-rho_air)*phils"", ""mu"": ""mu_air+(mu_w-mu_air)*phils"", ""rho_mat"": ""userdef"", ""mu_mat"": ""userdef"", ""mu0"": ""1e-3[Pa*s]"", ""mu0_mat"": ""from_mat"", ""mu0c"": ""1e-3[Pa*s]"", ""mu0c_mat"": ""from_mat"", ""mu0cw"": ""1e-3[Pa*s]"", ""mu0cw_mat"": ""from_mat"", ""mu0cy"": ""1e-3[Pa*s]"", ""mu0cy_mat"": ""from_mat"", ""mu0e"": ""1e-3[Pa*s]"", ""mu0e_mat"": ""from_mat"", ""mu_DK"": ""1e-3[Pa*s]"", ""mu_DK_mat"": ""from_mat"", ""mu_inf"": ""0[Pa*s]"", ""mu_inf_mat"": ""from_mat"", ""mu_infc"": ""0[Pa*s]"", ""mu_infc_mat"": ""from_mat"", ""mu_infcy"": ""0[Pa*s]"", ""mu_infcy_mat"": ""from_mat"", ""mu_infs"": ""0[Pa*s]"", ""mu_infs_mat"": ""from_mat"", ""mu_init_app"": ""spf.mu0e"", ""mu_p"": ""1e-3[Pa*s]"", ""mu_p_mat"": ""from_mat"", ""mu_pc"": ""1e-3[Pa*s]"", ""mu_pc_mat"": ""from_mat""}","[""MixingLengthLimit"", ""l_mix_lim"", ""LengthScaleSpecification"", ""lref"", ""rho_mat"", ""rho"", ""minput_temperature_src"", ""minput_temperature"", ""editModelInputs"", ""Constitutiverelation"", ""mu_mat"", ""mu"", ""nonNewtonianModels"", ""sr_ref"", ""sr_lowlimit"", ""m_p"", ""mu_init_app"", ""kf"", ""kb"", ""m_y0"", ""m_yt"", ""tau_y0"", ""tau_yt"", ""nb"", ""nf"", ""m_pow_mat"", ""m_pow"", ""n_pow_mat"", ""n_pow"", ""mu0_mat"", ""mu0"", ""mu_inf_mat"", ""mu_inf"", ""lam_car_mat"", ""lam_car"", ""n_car_mat"", ""n_car"", ""mu0cy_mat"", ""mu0cy"", ""mu_infcy_mat"", ""mu_infcy"", ""lam_cy_mat"", ""lam_cy"", ""n_cy_mat"", ""n_cy"", ""a_car_mat"", ""a_car"", ""mu0cw_mat"", ""mu0cw"", ""lam_cw_mat"", ""lam_cw"", ""n_cw_mat"", ""n_cw"", ""mu_p_mat"", ""mu_p"", ""tau_y_mat"", ""tau_y"", ""mu_infs_mat"", ""mu_infs"", ""m_pows_mat"", ""m_pows"", ""n_pows_mat"", ""n_pows"", ""tau_half_mat"", ""tau_half"", ""a_e_mat"", ""a_e"", ""mu0e_mat"", ""mu0e"", ""m_powhb_mat"", ""m_powhb"", ""n_powhb_mat"", ""n_powhb"", ""tau_yhb_mat"", ""tau_yhb"", ""mu_pc_mat"", ""mu_pc"", ""tau_yc_mat"", ""tau_yc"", ""tau_tr_mat"", ""tau_tr"", ""mu0c_mat"", ""mu0c"", ""mu_infc_mat"", ""mu_infc"", ""n_c_mat"", ""n_c"", ""mu_DK_mat"", ""mu_DK"", ""lam_DK_mat"", ""lam_DK"", ""tau_yDK_mat"", ""tau_yDK"", ""m_powrs_mat"", ""m_powrs"", ""n_powrs_mat"", ""n_powrs"", ""tau_yrs_mat"", ""tau_yrs"", ""thermalFunction"", ""Twlf"", ""C1wlf"", ""C2wlf"", ""T0"", ""Q"", ""be"", ""alphaT"", ""shift_temperature_src"", ""shift_temperature"", ""streamlinens"", ""crosswindns"", ""minput_pressure_src"", ""minput_pressure"", ""minput_electricfield_src"", ""minput_electricfield"", ""minput_magneticfield_src"", ""minput_magneticfield"", ""minput_magneticfluxdensity_src"", ""minput_magneticfluxdensity"", ""minput_velocity_src"", ""minput_velocity"", ""minput_frequency_src"", ""minput_frequency"", ""minput_stress_src"", ""minput_stress"", ""minput_effectiveplasticstrain_src"", ""minput_effectiveplasticstrain"", ""minput_strainreferencetemperature_src"", ""minput_strainreferencetemperature"", ""minput_concentration_src"", ""minput_concentration"", ""minput_numberdensity_src"", ""minput_numberdensity"", ""minput_relativehumidity_src"", ""minput_relativehumidity"", ""minput_currentdensity_src"", ""minput_currentdensity"", ""minput_shiftedmagneticfield_src"", ""minput_shiftedmagneticfield"", ""StudyStep"", ""showPhysicsSymbols""]"
spf,LaminarFlow,Laminar Flow,init1,init,Initial Values 1,[],[],True,{},"[""u_init"", ""p_init"", ""nutilde_init"", ""G_init"", ""k_init"", ""ep_init"", ""om_init"", ""yPlus_init"", ""uPlus_init"", ""zeta_init"", ""alpha_init"", ""gamma_init"", ""R_init"", ""CompensateForHydrostaticPressureApproximation"", ""CompensateForHydrostaticPressure"", ""coordinateSystem"", ""StudyStep"", ""showPhysicsSymbols""]"
spf,LaminarFlow,Laminar Flow,axi1,AxialSymmetry,Axial Symmetry 1,[1],[],True,{},"[""constraintOptions"", ""constraintType"", ""constraintMethod"", ""StudyStep"", ""showPhysicsSymbols""]"
spf,LaminarFlow,Laminar Flow,wallbc1,WallBC,Wall 1,"[2, 3, 4, 5, 6, 7, 8]","[4, 5, 6, 7]",True,"{""BoundaryCondition"": ""NoSlip"", ""SlidingWall"": ""0"", ""TranslationalVelocityOption"": ""AutomaticFromFrame"", ""utr"": ""0"", ""ApplyWallRoughness"": ""0"", ""epsilonr"": ""80"", ""mueo"": ""7e-8[m^2/(V*s)]"", ""sigmat"": ""0.75""}","[""BoundaryCondition"", ""uleak"", ""UseViscousSlip"", ""UseThermalCreep"", ""SlipLengthOption"", ""Ls"", ""alphav"", ""lambda"", ""sigmat"", ""ElectroosmoticOption"", ""mueo"", ""zeta"", ""epsilonr"", ""T_src"", ""T"", ""E_src"", ""E"", ""utr"", ""uvw"", ""vw"", ""SlidingWall"", ""TranslationalVelocityOption"", ""constraintOptions"", ""constraintType"", ""constraintMethod"", ""ApplyWallRoughness"", ""RoughnessModel"", ""kseq"", ""ks"", ""Cs"", ""NavierSlip"", ""beta"", ""beta_factor"", ""tau_ref"", ""m"", ""IncludeUtrInNavierSlipForce"", ""tau_y"", ""k1"", ""k2"", ""StudyStep"", ""showPhysicsSymbols"", ""pairContrib""]"
spf,LaminarFlow,Laminar Flow,grav1,Gravity,Gravity 1,[],[],False,"{""g"": ""0"", ""projectGravity"": ""1""}","[""g"", ""projectGravity"", ""StudyStep"", ""showPhysicsSymbols""]"
spf,LaminarFlow,Laminar Flow,rtfr1,RotatingFrameFD,Rotating Frame 1,[],[],False,"{""AxisOfRotation"": ""zAxis"", ""RotationalDirection"": ""CounterClockwise"", ""RotationalFrequency"": ""AngularVelocity""}","[""AxisOfRotation"", ""RotationalDirection"", ""RotationalFrequency"", ""Ovm"", ""rpt"", ""alpha"", ""StudyStep"", ""showPhysicsSymbols""]"
spf,LaminarFlow,Laminar Flow,dcont1,Continuity,Flow Continuity 1,[],[],False,{},"[""continuityConditions"", ""pressureLossModel"", ""K_expansion_loss"", ""K_contraction_loss"", ""venaContractaModel"", ""c_vc"", ""c_vc_ll"", ""n_vc"", ""kJumpnPLossInclude"", ""K_k_conversion"", ""epJumpPLossInclude"", ""K_ep_conversion"", ""omJumpPLossInclude"", ""K_om_conversion"", ""constraintOptions"", ""constraintType"", ""constraintMethod"", ""pairSelection"", ""pairs"", ""pairsList"", ""pairDisconnect"", ""StudyStep"", ""showPhysicsSymbols""]"
ls,LevelSet,Level Set,lsm1,LevelSetModel,Level Set Model 1,[],[],True,"{""epsilon_ls"": ""ls.ep_default"", ""gamma"": ""1""}","[""gamma"", ""epsilon_ls"", ""u_src"", ""u"", ""StudyStep"", ""showPhysicsSymbols""]"
ls,LevelSet,Level Set,init1,init,Initial Values 1,[],[],True,{},"[""InitialValuesOption"", ""phils_init"", ""FluidInDomain"", ""StudyStep"", ""showPhysicsSymbols""]"
ls,LevelSet,Level Set,initfluid2,initFluid2,"Initial Values, Fluid 2",[],[],True,{},"[""InitialValuesOption"", ""phils_init"", ""FluidInDomain"", ""StudyStep"", ""showPhysicsSymbols""]"
ls,LevelSet,Level Set,axi1,AxialSymmetry,Axial Symmetry 1,[1],[],True,{},"[""StudyStep""]"
ls,LevelSet,Level Set,nf1,NoFlow,No Flow 1,"[2, 3, 4, 5, 6, 7, 8]","[4, 5, 6, 7]",True,{},"[""StudyStep"", ""showPhysicsSymbols"", ""pairContrib""]"
ls,LevelSet,Level Set,dcont1,Continuity,Continuity 1,[],[],False,{},"[""pairSelection"", ""pairs"", ""pairsList"", ""pairDisconnect"", ""StudyStep"", ""showPhysicsSymbols""]"
