probe,candidate_type,create_status,error,physics_tag,feature_tag,can_select_ring,properties,created_type,label,BoundaryCondition,SlidingWall,TranslationalVelocityOption,utr,WallCondition,WallType,cleanup
physics_interface,LaminarTwoPhaseFlowLevelSet,FAIL,"Exception:
	com.comsol.util.exceptions.FlException: Unknown physics interface.
Messages:
	Unknown physics interface.
	- Physics interface: LaminarTwoPhaseFlowLevelSet
",,,,,,,,,,,,,
physics_interface,TwoPhaseFlowLevelSet,FAIL,"Exception:
	com.comsol.util.exceptions.FlException: Unknown physics interface.
Messages:
	Unknown physics interface.
	- Physics interface: TwoPhaseFlowLevelSet
",,,,,,,,,,,,,
physics_interface,TwoPhaseFlowLS,FAIL,"Exception:
	com.comsol.util.exceptions.FlException: Unknown physics interface.
Messages:
	Unknown physics interface.
	- Physics interface: TwoPhaseFlowLS
",,,,,,,,,,,,,
physics_interface,TpfLevelSet,FAIL,"Exception:
	com.comsol.util.exceptions.FlException: Unknown physics interface.
Messages:
	Unknown physics interface.
	- Physics interface: TpfLevelSet
",,,,,,,,,,,,,
physics_interface,LaminarTwoPhaseFlowPhaseField,FAIL,"Exception:
	com.comsol.util.exceptions.FlException: Unknown physics interface.
Messages:
	Unknown physics interface.
	- Physics interface: LaminarTwoPhaseFlowPhaseField
",,,,,,,,,,,,,
physics_interface,TwoPhaseFlowPhaseField,FAIL,"Exception:
	com.comsol.util.exceptions.FlException: Unknown physics interface.
Messages:
	Unknown physics interface.
	- Physics interface: TwoPhaseFlowPhaseField
",,,,,,,,,,,,,
physics_interface,TwoPhaseFlowPF,FAIL,"Exception:
	com.comsol.util.exceptions.FlException: Unknown physics interface.
Messages:
	Unknown physics interface.
	- Physics interface: TwoPhaseFlowPF
",,,,,,,,,,,,,
feature,WettedWall,FAIL,"Exception:
	com.comsol.util.exceptions.FlException: Unknown feature ID: WettedWall.
Messages:
	Unknown feature ID: WettedWall.
",ls,C2_probe_ls_WettedWall,False,[],,,,,,,,,
feature,WettedWallLS,FAIL,"Exception:
	com.comsol.util.exceptions.FlException: Unknown feature ID: WettedWallLS.
Messages:
	Unknown feature ID: WettedWallLS.
",ls,C2_probe_ls_WettedWallLS,False,[],,,,,,,,,
feature,WallWetted,FAIL,"Exception:
	com.comsol.util.exceptions.FlException: Unknown feature ID: WallWetted.
Messages:
	Unknown feature ID: WallWetted.
",ls,C2_probe_ls_WallWetted,False,[],,,,,,,,,
feature,InteriorWettedWall,FAIL,"Exception:
	com.comsol.util.exceptions.FlException: Unknown feature ID: InteriorWettedWall.
Messages:
	Unknown feature ID: InteriorWettedWall.
",ls,C2_probe_ls_InteriorWettedWall,False,[],,,,,,,,,
