item,value,status
5C,PASS,PASS
Jet1_detected,NO,PASS
ALLOW_5D,YES,PASS
ALLOW_STAGE6,NO,PASS
this_run_allows,Jet2 detection,CONFIRMED
this_run_forbids,"Stage 6 parameter sweep, real Hmax output",CONFIRMED
input_exists:5C_jet1_extraction_final_report.md,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5C_jet1_extraction\reports\5C_jet1_extraction_final_report.md,PASS
input_exists:D_jet1_candidate_detection_report.md,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5C_jet1_extraction\reports\D_jet1_candidate_detection_report.md,PASS
input_exists:E_velocity_field_support_report.md,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5C_jet1_extraction\reports\E_velocity_field_support_report.md,PASS
input_exists:C_interface_sequence_diagnostics.csv,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5C_jet1_extraction\tables\C_interface_sequence_diagnostics.csv,PASS
input_exists:D_jet1_candidate_summary.csv,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5C_jet1_extraction\tables\D_jet1_candidate_summary.csv,PASS
input_exists:E_velocity_support_metrics.csv,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5C_jet1_extraction\tables\E_velocity_support_metrics.csv,PASS
input_exists:ring_fountain_v5C_jet1_extraction_best.mph,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5C_jet1_extraction\models\ring_fountain_v5C_jet1_extraction_best.mph,PASS
input_exists:ring_fountain_v5C_jet1_extraction_best.java,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5C_jet1_extraction\exports\ring_fountain_v5C_jet1_extraction_best.java,PASS
input_exists:README.md,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\README.md,PASS
input_exists:CHANGELOG.md,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\CHANGELOG.md,PASS
input_exists:SCRIPT_MANIFEST.md,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\scripts\SCRIPT_MANIFEST.md,PASS
