model_id,inner_solution,time_s,interface_threshold,interface_points,max_interface_z_m,H_m,H_mm,near_domain_top
5B1_center_forcing,1,0.0,0.5,21,9.864432765997282e-17,9.864432765997282e-17,9.864432765997282e-14,False
5B1_center_forcing,2,0.005,0.5,21,9.864432765997282e-17,9.864432765997282e-17,9.864432765997282e-14,False
5B1_center_forcing,3,0.01,0.5,23,0.0013953488372092156,0.0013953488372092156,1.3953488372092155,False
5B1_center_forcing,4,0.015,0.5,24,0.0013953488372092156,0.0013953488372092156,1.3953488372092155,False
5B1_center_forcing,5,0.02,0.5,24,0.0013953488372092156,0.0013953488372092156,1.3953488372092155,False
5B1_center_forcing,6,0.025,0.5,25,0.0013953488372092156,0.0013953488372092156,1.3953488372092155,False
5B1_center_forcing,7,0.03,0.5,25,0.0013953488372092156,0.0013953488372092156,1.3953488372092155,False
5B1_center_forcing,8,0.035,0.5,29,0.0013953488372092156,0.0013953488372092156,1.3953488372092155,False
5B1_center_forcing,9,0.04,0.5,31,0.0013953488372092156,0.0013953488372092156,1.3953488372092155,False
5B1_center_forcing,10,0.045,0.5,42,0.0013953488372092156,0.0013953488372092156,1.3953488372092155,False
5B1_center_forcing,11,0.05,0.5,42,0.0013953488372092156,0.0013953488372092156,1.3953488372092155,False
5B1_center_forcing,12,0.055,0.5,42,0.0013953488372092156,0.0013953488372092156,1.3953488372092155,False
5B1_center_forcing,13,0.06,0.5,42,0.0013953488372092156,0.0013953488372092156,1.3953488372092155,False
5B1_center_forcing,14,0.065,0.5,42,0.0013953488372092156,0.0013953488372092156,1.3953488372092155,False
5B1_center_forcing,15,0.07,0.5,42,0.0013953488372092156,0.0013953488372092156,1.3953488372092155,False
5B1_center_forcing,16,0.075,0.5,42,0.0013953488372092156,0.0013953488372092156,1.3953488372092155,False
5B1_center_forcing,17,0.08,0.5,42,0.0013953488372092156,0.0013953488372092156,1.3953488372092155,False
