case_id,base_case,changed_parameter,old_value,new_value,solve_status,failure_message,H0,Hfinal,H_final_minus_H0,interface_roughness_initial,interface_roughness_final,pseudo_spike_old_flag,pseudo_spike_ROI_flag,interface_quality,reldetjacmin_min,reldetjacmin_mean,reldetjac_min,reldetjac_mean,qual_min,qual_mean,dvol_min,dvol_mean,mesh_quality_min,max_mesh_vertical_displacement,inverted_element_flag,case_pass,H_max_minus_H0,interface_points_initial,interface_points_final,mass_proxy_initial,mass_proxy_final,mass_proxy_relative_change,side_effects
B0_S1_time_step_5e-5,B0,S1_time_step_5e-5,baseline,S1_time_step_5e-5,PASS,,-1.2782994647872069e-06,3.251740196620197e-06,4.530039661407404e-06,0.0012005165966569782,0.0010595430631147279,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.734723475976807e-17,False,False,4.530039661407404e-06,,,,,not_evaluated_proxy,
B0_S2_time_step_2e-5,B0,S2_time_step_2e-5,baseline,S2_time_step_2e-5,PASS,,-1.2782994647872069e-06,3.3945060667909594e-06,4.672805531578166e-06,0.0012005165966569782,0.0010594988547964427,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.734723475976807e-17,False,False,4.672805531578166e-06,,,,,not_evaluated_proxy,
B0_S3_time_step_1e-5,B0,S3_time_step_1e-5,baseline,S3_time_step_1e-5,PASS,,-1.2782994647871798e-06,3.3945060667907697e-06,4.6728055315779494e-06,0.0012005165966569782,0.0010594988547964453,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.734723475976807e-17,False,False,4.6728055315779494e-06,,,,,not_evaluated_proxy,
B0_S4_eps_ls_0p5mm,B0,S4_eps_ls_0p5mm,baseline,S4_eps_ls_0p5mm,PASS,,-3.2634013946826414e-07,7.871931655577924e-06,8.198271795046188e-06,0.0012347165265821922,0.0011112687960358066,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.734723475976807e-17,False,False,8.198271795046188e-06,,,,,not_evaluated_proxy,eps_ls/gamma changes affect diagnostic interface thickness and must not be treated as physical success
B0_S5_eps_ls_2mm,B0,S5_eps_ls_2mm,baseline,S5_eps_ls_2mm,PASS,,-1.843638461306737e-07,8.711941533474915e-07,1.0555579994781652e-06,0.0007361279881831917,0.0006223084117784324,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.734723475976807e-17,False,False,1.0555579994781652e-06,,,,,not_evaluated_proxy,eps_ls/gamma changes affect diagnostic interface thickness and must not be treated as physical success
B0_S6_eps_ls_3mm,B0,S6_eps_ls_3mm,baseline,S6_eps_ls_3mm,PASS,,-6.45792612362047e-08,1.927446222043511e-07,2.573238834405558e-07,0.0003781520859797253,0.0003533348643674903,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.734723475976807e-17,False,False,2.573238834405558e-07,,,,,not_evaluated_proxy,eps_ls/gamma changes affect diagnostic interface thickness and must not be treated as physical success
B0_S7_gamma_0p002,B0,S7_gamma_0p002,baseline,S7_gamma_0p002,PASS,,-1.278292004160093e-06,2.543971349641596e-06,3.822263353801689e-06,0.0012005183908349718,0.0011160000536160025,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.734723475976807e-17,False,False,3.822263353801689e-06,,,,,not_evaluated_proxy,eps_ls/gamma changes affect diagnostic interface thickness and must not be treated as physical success
B0_S8_gamma_0p005,B0,S8_gamma_0p005,baseline,S8_gamma_0p005,PASS,,-1.2782948277776263e-06,3.5269001539469855e-06,4.805194981724612e-06,0.0012005177189243882,0.0011027206987588361,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.734723475976807e-17,False,False,4.805194981724612e-06,,,,,not_evaluated_proxy,eps_ls/gamma changes affect diagnostic interface thickness and must not be treated as physical success
B0_S9_gamma_0p02,B0,S9_gamma_0p02,baseline,S9_gamma_0p02,PASS,,-1.2783090090270086e-06,2.3894822726620424e-06,3.667791281689051e-06,0.0012005143422872096,0.0009814893296195316,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.734723475976807e-17,False,False,3.667791281689051e-06,,,,,not_evaluated_proxy,eps_ls/gamma changes affect diagnostic interface thickness and must not be treated as physical success
B0_S10_ramp_motion,B0,S10_ramp_motion,baseline,S10_ramp_motion,SKIP,ramp motion is only defined for nonzero Vring case,,,,,,,,,,,,,,,,,,,,False,,,,,,,
B1_S1_time_step_5e-5,B1,S1_time_step_5e-5,baseline,S1_time_step_5e-5,PASS,,-1.2783099299696384e-06,3.1369737160320853e-06,4.415283646001724e-06,0.0012005165624403515,0.0010579943600249131,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.00000000000023e-06,False,False,4.415283646001724e-06,,,,,not_evaluated_proxy,
B1_S2_time_step_2e-5,B1,S2_time_step_2e-5,baseline,S2_time_step_2e-5,PASS,,-1.2783099299696384e-06,3.157108542165023e-06,4.435418472134661e-06,0.0012005165624403515,0.0010624207120696148,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.00000000000023e-06,False,False,4.435418472134661e-06,,,,,not_evaluated_proxy,
B1_S3_time_step_1e-5,B1,S3_time_step_1e-5,baseline,S3_time_step_1e-5,PASS,,-1.278309929969503e-06,3.157108542167215e-06,4.435418472136718e-06,0.0012005165624403517,0.0010624207120695922,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.00000000000023e-06,False,False,4.435418472136718e-06,,,,,not_evaluated_proxy,
B1_S4_eps_ls_0p5mm,B1,S4_eps_ls_0p5mm,baseline,S4_eps_ls_0p5mm,PASS,,-3.2634025975336654e-07,7.75848129126819e-06,8.084821551021556e-06,0.001234716514523413,0.0011099844245534324,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.00000000000023e-06,False,False,8.084821551021556e-06,,,,,not_evaluated_proxy,eps_ls/gamma changes affect diagnostic interface thickness and must not be treated as physical success
B1_S5_eps_ls_2mm,B1,S5_eps_ls_2mm,baseline,S5_eps_ls_2mm,PASS,,-1.8436439101261548e-07,8.893784548516564e-07,1.0737428458642718e-06,0.0007361279697418281,0.000621944954560635,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.00000000000023e-06,False,False,1.0737428458642718e-06,,,,,not_evaluated_proxy,eps_ls/gamma changes affect diagnostic interface thickness and must not be treated as physical success
B1_S6_eps_ls_3mm,B1,S6_eps_ls_3mm,baseline,S6_eps_ls_3mm,PASS,,-6.457959876440074e-08,1.9985325467656548e-07,2.644328534409662e-07,0.0003781520778331348,0.0003532284050665511,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.00000000000023e-06,False,False,2.644328534409662e-07,,,,,not_evaluated_proxy,eps_ls/gamma changes affect diagnostic interface thickness and must not be treated as physical success
B1_S7_gamma_0p002,B1,S7_gamma_0p002,baseline,S7_gamma_0p002,PASS,,-1.27830249797812e-06,2.4620929426080415e-06,3.7403954405861614e-06,0.0012005183565801764,0.0011143159218193759,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.00000000000023e-06,False,False,3.7403954405861614e-06,,,,,not_evaluated_proxy,eps_ls/gamma changes affect diagnostic interface thickness and must not be treated as physical success
B1_S8_gamma_0p005,B1,S8_gamma_0p005,baseline,S8_gamma_0p005,PASS,,-1.2783053023786848e-06,3.3530685578025767e-06,4.6313738601812615e-06,0.0012005176846744832,0.0011011226776908175,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.00000000000023e-06,False,False,4.6313738601812615e-06,,,,,not_evaluated_proxy,eps_ls/gamma changes affect diagnostic interface thickness and must not be treated as physical success
B1_S9_gamma_0p02,B1,S9_gamma_0p02,baseline,S9_gamma_0p02,PASS,,-1.2783195012733219e-06,2.4948791136673777e-06,3.7731986149406995e-06,0.0012005143082080576,0.0009805724847971498,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.00000000000023e-06,False,False,3.7731986149406995e-06,,,,,not_evaluated_proxy,eps_ls/gamma changes affect diagnostic interface thickness and must not be treated as physical success
B1_S10_ramp_motion,B1,S10_ramp_motion,baseline,S10_ramp_motion,PASS,,-1.2782994647873153e-06,3.161009265921139e-06,4.439308730708454e-06,0.0012005165966569786,0.0010580055548934748,False,True,weak_or_spiky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.000002301572357e-06,False,False,4.439308730708454e-06,,,,,not_evaluated_proxy,
