case_id,inner,time_s,interface_points_count,H_median,regional_roughness,max_slope,principal_spike_region,pseudo_spike_regional_flag,center_hole_points,inner_edge_points,jet_roi_points,H_center_hole,H_inner_edge,point_count_original,point_count_used,postprocess_method
J0_static_baseline_for_jet1_diagnostic,1,0.0,132,-4.098242394757288e-06,0.0009962413834684958,2.347604684715151,global,False,11,3,11,8.382199034798162e-05,3.038953802883379e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,2,0.00010000000000000002,132,-3.983034840203436e-06,0.0009939840578359897,2.343287698152022,global,False,11,3,11,8.351448656953232e-05,3.0308847973647878e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,3,0.0002,132,-3.779044639224106e-06,0.0009916522523261133,2.338915199304909,global,False,11,3,11,8.319040743991694e-05,3.0240822382605867e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,4,0.00030000000000000003,132,-3.4990359095428884e-06,0.0009892649876965909,2.3345248560170715,global,False,11,3,11,8.285806079903575e-05,3.0194541968170093e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,5,0.0004,132,-3.1645109687901334e-06,0.0009868395022200169,2.3301346581866476,global,False,11,3,11,8.252062249065412e-05,3.0164568406659513e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,6,0.0005,132,-2.7722762865185996e-06,0.0009843646713560664,2.3257353433086703,global,False,11,3,11,8.217984594858836e-05,3.0154086942652784e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,7,0.0006000000000000001,132,-2.7370978274355218e-06,0.000981849824341722,2.3213162056813257,global,False,11,3,11,8.183678643840215e-05,3.015713667691982e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,8,0.0007,132,-2.692868670523663e-06,0.0009792869011569308,2.3168677401216633,global,False,11,3,11,8.149127579719737e-05,3.0175602729731527e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,9,0.0008,132,-2.641736231885546e-06,0.0009766479405614549,2.3123480117674173,global,False,11,3,11,8.11401360143512e-05,3.0215118486286545e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,10,0.0009000000000000001,132,-2.618866717097717e-06,0.0009739851988296027,2.307818259217904,global,False,11,3,11,8.078779088659166e-05,3.0261966881607378e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,11,0.001,132,-2.5618037365324472e-06,0.0009712823839093925,2.3032855238431806,global,False,11,3,11,8.043409669412777e-05,3.0323521311341494e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,12,0.0011,132,-2.1836384960715027e-06,0.0009685461830082196,2.2987497656305127,global,False,11,3,11,8.007923609270942e-05,3.039700105611551e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,13,0.0012000000000000001,132,-1.8024350202381216e-06,0.0009657620328045968,2.2941881890127322,global,False,11,3,11,7.972386388233232e-05,3.0483895220871414e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,14,0.0013000000000000002,132,-1.4588866987085815e-06,0.0009629234479400713,2.2895911427412394,global,False,11,3,11,7.936826908274441e-05,3.058487475870124e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,15,0.0014,132,-1.2707764016348588e-06,0.0009600369897043922,2.284969963496044,global,False,11,3,11,7.901214514696972e-05,3.069929161096287e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,16,0.0015,132,-1.4336814969436194e-06,0.00095710348583225,2.280326672239039,global,False,11,3,11,7.865547109939474e-05,3.082585846993543e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,17,0.0016,132,-1.7560432627285384e-06,0.0009541227274209539,2.275661746923723,global,False,11,3,11,7.829825064770108e-05,3.0964544604442e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,18,0.0017000000000000001,132,-1.6745520196306606e-06,0.0009510941349026515,2.270975152385243,global,False,11,3,11,7.794049590118481e-05,3.1115763523324585e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,19,0.0018000000000000002,132,-1.4693936823888352e-06,0.0009480199086268282,2.2662625947190986,global,False,11,3,11,7.758183366897753e-05,3.12774593824368e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,20,0.0019,132,-1.6751043904779785e-06,0.0009448992380400573,2.2615255537840944,global,False,11,3,11,7.722235181919284e-05,3.1450130536474695e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,21,0.002,132,-2.017299824966237e-06,0.0009417315032592723,2.2567651648749076,global,False,10,3,10,7.882084109689681e-05,3.16341066395668e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,22,0.0021000000000000003,132,-1.9360150524678474e-06,0.0009385215139743382,2.2519790276341864,global,False,11,4,11,7.650321443373684e-05,3.057900892808572e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,23,0.0022,132,-1.7357394179805475e-06,0.0009352668487095552,2.2471688507801884,global,False,11,4,11,7.614478078351793e-05,3.078216081879659e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,24,0.0023,132,-1.868749342276491e-06,0.0009319689487238727,2.242337684476183,global,False,11,4,11,7.57870811933486e-05,3.0994877235520114e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,25,0.0024000000000000002,132,-1.9493368371797427e-06,0.0009286557206822301,2.2375227853459387,global,False,11,4,11,7.54351363335097e-05,3.121085168901567e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,26,0.0025,132,-1.8657081795074586e-06,0.0009253128347304603,2.232706134782124,global,False,11,4,11,7.508642866363367e-05,3.1433306788692393e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,27,0.0026000000000000003,132,-1.7800405215906842e-06,0.0009219401305409251,2.227888308358559,global,False,11,4,11,7.474097124347806e-05,3.166226660746541e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,28,0.0027,132,-1.6923476258188936e-06,0.0009185374458699958,2.223069905364338,global,False,10,4,10,7.66105829728045e-05,3.1897755401077556e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,29,0.0028,132,-1.6027650044544266e-06,0.0009151062287793104,2.2182530295859273,global,False,10,4,10,7.630677706311524e-05,3.21392756279012e-05,16272,1419,npz_binned_crossing_160
J0_static_baseline_for_jet1_diagnostic,30,0.0029000000000000002,132,-1.5129016618337302e-06,0.0009116675988539195,2.2134577347055147,global,False,10,4,10,7.601157161986864e-05,3.237997507979525e-05,16272,1419,npz_binned_crossing_160
