i	t	dt	cells	wall_seconds	cpu_seconds
0 0 0.00710227 187 0.002928 0.002904
10 0.01 0.001 208 0.023585 0.023482
20 0.02 0.001 208 0.045944 0.045821
30 0.03 0.001 214 0.0677 0.067577
40 0.04 0.001 220 0.090026 0.089903
50 0.05 0.001 220 0.112288 0.112165
60 0.06 0.001 196 0.133954 0.133831
70 0.07 0.001 199 0.155999 0.155876
80 0.08 0.001 220 0.177399 0.177277
90 0.09 0.001 220 0.199905 0.199782
100 0.1 0.001 199 0.222188 0.222065
110 0.11 0.001 217 0.244839 0.244716
120 0.12 0.001 217 0.265823 0.265701
130 0.13 0.001 220 0.287116 0.286994
140 0.14 0.001 220 0.310033 0.30991
150 0.15 0.001 220 0.331971 0.331848
160 0.16 0.001 220 0.354306 0.354183
170 0.17 0.001 220 0.375871 0.375748
180 0.18 0.001 220 0.39847 0.398347
190 0.19 0.001 220 0.419103 0.418981
200 0.2 0.001 220 0.440796 0.440674
210 0.21 0.001 220 0.461323 0.461185
220 0.22 0.001 220 0.483077 0.482502
230 0.23 0.001 220 0.503425 0.502851
240 0.24 0.001 220 0.522593 0.522019
250 0.25 0.001 220 0.5425 0.541925
250 0.25 0.001 220 0.542667 0.542093
