time_ms	category	lab_speed_mps	x_ring_m	r_m	z_lab_m	f	cs
408	all_fluid	9.04889	0.0039997	0.00599999	-0.634125	0.803671	1
408	interface	9.04889	0.0039997	0.00599999	-0.634125	0.803671	1
408	cut_cell	7.77161	0.0019997	0.00599999	-0.636125	0.813544	0.54861
410	all_fluid	9.52292	0.0019997	0.004	-0.642366	0.850401	0.54861
410	interface	9.52292	0.0019997	0.004	-0.642366	0.850401	0.54861
410	cut_cell	9.52292	0.0019997	0.004	-0.642366	0.850401	0.54861
458	all_fluid	13.5498	0.0379997	0.004	-0.763036	0.0379042	1
458	interface	13.5498	0.0379997	0.004	-0.763036	0.0379042	1
458	cut_cell	7.43248	0.0019997	0.00599999	-0.799036	0	0.54861
460	all_fluid	14.8132	0.0379997	0.004	-0.769879	0.156419	1
460	interface	14.8132	0.0379997	0.004	-0.769879	0.156419	1
460	cut_cell	7.14324	0.0019997	0.00599999	-0.805879	0	0.54861
462	all_fluid	14.9464	0.0379997	0.004	-0.776722	0.258669	1
462	interface	14.9464	0.0379997	0.004	-0.776722	0.258669	1
462	cut_cell	6.94969	0.0019997	0.004	-0.812722	0.0549675	0.54861
464	all_fluid	15.203	0.0379997	0.004	-0.783549	0.904789	1
464	interface	15.203	0.0379997	0.004	-0.783549	0.904789	1
464	cut_cell	6.48056	0.0019997	0.004	-0.819549	0.058959	0.54861
500	all_fluid	15.9635	0.0759996	0.004	-0.874175	1	1
500	interface	14.6375	0.243999	0.00599999	-0.706176	0.962563	1
500	cut_cell	3.95571	0.0019997	0.00599999	-0.948175	0.999314	0.54861
