run	grid	theta_deg	sigma_Npm	wall	empirical_transition	end_s	final_lower_face_depth_m	last_attached_depth_m	distance_at_100mm_m	final_interface_distance_m	max_budget_residual	max_lab_speed_mps	invalid_values	empirical_added_water_m3	result
theta75	L6	75	0.072	no-slip	no	0.26000000000000001	0.20346521920073637	0.20346521920073637	0	0	0.0043881032603505371	9.8917280245591197	0	0	attached
theta60	L6	60	0.072	no-slip	no	0.26000000000000001	0.19895842927864468	0.19895842927864468	0	0	0.0029774301706215088	9.5513855838237358	0	0	attached
theta45	L6	45	0.072	no-slip	no	0.26000000000000001	0.20710739993736191	0.20710739993736191	0	0	0.0041194996189525754	12.610740088423043	0	0	attached
theta30	L6	30	0.072	no-slip	no	0.23999999999999999	0.16651554587973319	0.16651554587973319	0	0	0.0026743355663753007	10.883011693963661	0	0	attached
theta105	L6	105	0.072	no-slip	no	0.23999999999999999	0.16054595324412799	0.16054595324412799	0	0	0.0031915684552331377	5.8375582114042732	0	0	attached
theta120	L6	120	0.072	no-slip	no	0.23999999999999999	0.15403033347978098	0.15403033347978098	0	0	0.0043388197978630819	10.825212044136139	0	0	attached
sigma_half	L6	75	0.036	no-slip	no	0.23999999999999999	0.16147682992096266	0.16147682992096266	0	0	0.0039983911109278897	9.0778621787318041	0	0	attached
sigma_double	L6	75	0.144	no-slip	no	0.23999999999999999	0.16205553998107389	0.16205553998107389	0	0	0.0038093319570702356	8.7120264108808989	0	0	attached
free_slip	L6	75	0.072	free-slip	no	0.23999999999999999	0.16118832064017966	0.16118832064017966	0	0	0.0038879968287470071	8.7938075626702066	0	0	attached
original_L7	L7	75	0.072	no-slip	no	0.29999999999999999	0.30558378247010798	0.30558378247010798	0	0	0.0025041018469891007	9.8421962362229856	0	0	attached
empirical_L6	L6	75	0.072	no-slip	yes	0.28000000000000003	0.25279189129990176	0.099714973174135607	0.0033332800000000001	0.21745500000000001	0.0029303219306438611	7.907394666568873	0	1.2898536841943198e-06	detached
empirical_L7	L7	75	0.072	no-slip	yes	0.32000000000000001	0.36020685049388579	0.099710477833625993	0.0012044199999999999	0.31956200000000001	0.0016631719828451906	8.0240031151490516	0	5.4730805970626406e-07	detached
