time_s	time_after_contact_ms	ring_center_lab_m	all_water_top_m	coherent_top_m	coherent_top_radius_m	central_coherent_top_m	detached_water_top_m	water_samples	coherent_samples	detached_samples
0	-142.416667	0.102	-0.001	-0.001	0	-0.001	nan	23958	23958	0
0.002	-140.416667	0.101980385812	-0.00101961418779	-0.00101961418779	0	-0.00101961418779	nan	23958	23958	0
0.004	-138.416667	0.101921543803	-0.0010784561971	-0.0010784561971	0	-0.0010784561971	nan	23958	23958	0
0.006	-136.416667	0.101823474316	-0.000176525683507	-0.000176525683507	0	-0.000176525683507	nan	24079	24079	0
0.008	-134.416667	0.10168617761	-0.000313822390173	-0.000313822390173	0	-0.000313822390173	nan	24079	24079	0
0.01	-132.416667	0.10150965395	-0.000490346050263	-0.000490346050263	0	-0.000490346050263	nan	24079	24079	0
0.012	-130.416667	0.101293903605	-0.000706096394848	-0.000706096394848	0	-0.000706096394848	nan	24079	24079	0
0.014	-128.416667	0.101038926842	-0.000961073158199	-0.000961073158199	0	-0.000961073158199	nan	24079	24079	0
0.016	-126.416667	0.100744723925	-0.000255276075072	-0.000255276075072	0	-0.000255276075072	nan	24200	24200	0
0.018	-124.416667	0.100411295116	-0.000588704883692	-0.000588704883692	0	-0.000588704883692	nan	24200	24200	0
0.02	-122.416667	0.100038640675	-0.000961359325139	-0.000961359325139	0	-0.000961359325139	nan	24200	24200	0
0.022	-120.416667	0.0996267608565	-0.000373239143461	-0.000373239143461	0	-0.000373239143461	nan	24321	24321	0
0.024	-118.416667	0.099175655914	-0.000824344085992	-0.000824344085992	0	-0.000824344085992	nan	24321	24321	0
0.026	-116.416667	0.0986853260966	-0.000314873903425	-0.000314873903425	0	-0.000314873903425	nan	24442	24442	0
0.028	-114.416667	0.0981557716505	-0.000844428349523	-0.000844428349523	0	-0.000844428349523	nan	24442	24442	0
0.03	-112.416667	0.0975869928191	-0.000413207180873	-0.000413207180873	0	-0.000413207180873	nan	24563	24563	0
0.032	-110.416667	0.0969789898434	-0.00102121015661	-0.00102121015661	0	-0.00102121015661	nan	24563	24563	0
0.034	-108.416667	0.0963317629619	-0.000668437038139	-0.000668437038139	0	-0.000668437038139	nan	24684	24684	0
0.036	-106.416667	0.0956453124112	-0.000354887588755	-0.000354887588755	0	-0.000354887588755	nan	24805	24805	0
0.038	-104.416667	0.0949196384275	-8.05615724653e-05	-8.05615724653e-05	0	-8.05615724653e-05	nan	24926	24926	0
0.04	-102.416667	0.0941547412446	-0.00084545875537	-0.00084545875537	0	-0.00084545875537	nan	24926	24926	0
0.042	-100.416667	0.093350621096	-0.000649578903991	-0.000649578903991	0	-0.000649578903991	nan	25047	25047	0
0.044	-98.4166667	0.0925072782141	-0.000492921785914	-0.000492921785914	0	-0.000492921785914	nan	25168	25168	0
0.046	-96.4166667	0.0916247128298	-0.000375487170169	-0.000375487170169	0	-0.000375487170169	nan	25289	25289	0
0.048	-94.4166667	0.0907029251788	-0.000297274821202	-0.000297274821202	0	-0.000297274821202	nan	25410	25410	0
0.05	-92.4166667	0.0897419155095	-0.000258284490469	-0.000258284490469	0	-0.000258284490469	nan	25531	25531	0
0.052	-90.4166667	0.0887416840083	-0.000258515991697	-0.000258515991697	0	-0.000258515991697	nan	25652	25652	0
0.054	-88.4166667	0.087702230915	-0.000297969084966	-0.000297969084966	0	-0.000297969084966	nan	25773	25773	0
0.056	-86.4166667	0.0866235564618	-0.00037664353821	-0.00037664353821	0	-0.00037664353821	nan	25894	25894	0
0.058	-84.4166667	0.0855056608747	-0.000494539125252	-0.000494539125252	0	-0.000494539125252	nan	26015	26015	0
0.06	-82.4166667	0.0843485443837	-0.000651655616256	-0.000651655616256	0	-0.000651655616256	nan	26136	26136	0
0.062	-80.4166667	0.0831522072116	-0.000847992788426	-0.000847992788426	0	-0.000847992788426	nan	26257	26257	0
0.064	-78.4166667	0.0819166495789	-8.35504210847e-05	-8.35504210847e-05	0	-8.35504210847e-05	nan	26499	26499	0
0.066	-76.4166667	0.0806418717169	-0.000358328283109	-0.000358328283109	0	-0.000358328283109	nan	26620	26620	0
0.068	-74.4166667	0.0793278738473	-0.000672326152651	-0.000672326152651	0	-0.000672326152651	nan	26741	26741	0
0.07	-72.4166667	0.077974656192	-2.55438080236e-05	-2.55438080236e-05	0	-2.55438080236e-05	nan	26983	26983	0
0.072	-70.4166667	0.0765822189734	-0.000417981026551	-0.000417981026551	0	-0.000417981026551	nan	27104	27104	0
0.074	-68.4166667	0.0751505624172	-0.000849637582791	-0.000849637582791	0	-0.000849637582791	nan	27225	27225	0
0.076	-66.4166667	0.0736796867422	-0.000320513257847	-0.000320513257847	0	-0.000320513257847	nan	27467	27467	0
0.078	-64.4166667	0.0721695921643	-0.000830607835694	-0.000830607835694	0	-0.000830607835694	nan	27588	27588	0
0.08	-62.4166667	0.0706202789061	-0.000379921093898	-0.000379921093898	0	-0.000379921093898	nan	27830	27830	0
0.082	-60.4166667	0.0690317471916	-0.000968452808402	-0.000968452808402	0	-0.000968452808402	nan	27951	27951	0
0.084	-58.4166667	0.0674039972384	-0.000596202761648	-0.000596202761648	0	-0.000596202761648	nan	28193	28193	0
0.086	-56.4166667	0.0657370292677	-0.000263170732254	-0.000263170732254	0	-0.000263170732254	nan	28435	28435	0
0.088	-54.4166667	0.0640308434994	-0.000969356500592	-0.000969356500592	0	-0.000969356500592	nan	28556	28556	0
0.09	-52.4166667	0.0622854401522	-0.000714759847782	-0.000714759847782	0	-0.000714759847782	nan	28798	28798	0
0.092	-50.4166667	0.0605008194675	-0.000499380532516	-0.000499380532516	0	-0.000499380532516	nan	29040	29040	0
0.094	-48.4166667	0.0586769817363	-0.000323218263674	-0.000323218263674	0	-0.000323218263674	nan	29282	29282	0
0.096	-46.4166667	0.0568139269257	-0.00118627307427	-0.00118627307427	0	-0.00118627307427	nan	29403	29403	0
0.098	-44.4166667	0.0549116554643	-0.00108854453567	-0.00108854453567	0	-0.00108854453567	nan	29645	29645	0
0.1	-42.4166667	0.052970167524	-0.00103003247597	-0.00103003247597	0	-0.00103003247597	nan	29887	29887	0
