time_s	time_after_contact_ms	ring_center_lab_m	all_water_top_m	coherent_top_m	coherent_top_radius_m	central_coherent_top_m	detached_water_top_m	water_samples	coherent_samples	detached_samples
0	-146.333333	0.10751	-0.00049	-0.00049	0	-0.00049	nan	23353	23353	0
0.001	-145.333333	0.107505096011	-0.00049490398886	-0.00049490398886	0	-0.00049490398886	nan	23353	23353	0
0.002	-144.333333	0.107490384244	-0.000509615756363	-0.000509615756363	0	-0.000509615756363	nan	23353	23353	0
0.003	-143.333333	0.107465864693	-0.000534135307211	-0.000534135307211	0	-0.000534135307211	nan	23353	23353	0
0.004	-142.333333	0.107431537461	-0.000568462539189	-0.000568462539189	0	-0.000568462539189	nan	23353	23353	0
0.005	-141.333333	0.107387402554	-0.000612597445738	-0.000612597445738	0	-0.000612597445738	nan	23353	23353	0
0.006	-140.333333	0.107333460036	-0.000666539964492	-0.000666539964492	0	-0.000666539964492	nan	23353	23353	0
0.007	-139.333333	0.107269709935	-0.000730290065347	-0.000730290065347	0	-0.000730290065347	nan	23353	23353	0
0.008	-138.333333	0.107196152299	-0.000803847701053	-0.000803847701053	0	-0.000803847701053	nan	23353	23353	0
0.009	-137.333333	0.107112787164	-0.000887212835899	-0.000887212835899	0	-0.000887212835899	nan	23353	23353	0
0.01	-136.333333	0.107019614575	1.96145747873e-05	1.96145747873e-05	0	1.96145747873e-05	nan	23474	23474	0
0.011	-135.333333	0.106916634571	-8.33654293419e-05	-8.33654293419e-05	0	-8.33654293419e-05	nan	23474	23474	0
0.012	-134.333333	0.106803847191	-0.000196152809224	-0.000196152809224	0	-0.000196152809224	nan	23474	23474	0
0.013	-133.333333	0.106681252476	-0.000318747524446	-0.000318747524446	0	-0.000318747524446	nan	23474	23474	0
0.014	-132.333333	0.106548850465	-0.000451149535322	-0.000451149535322	0	-0.000451149535322	nan	23474	23474	0
0.015	-131.333333	0.106406641197	-0.000593358803087	-0.000593358803087	0	-0.000593358803087	nan	23474	23474	0
0.016	-130.333333	0.106254624711	-0.000745375288802	-0.000745375288802	0	-0.000745375288802	nan	23474	23474	0
0.017	-129.333333	0.106092801046	-0.000907198954202	-0.000907198954202	0	-0.000907198954202	nan	23474	23474	0
0.018	-128.333333	0.105921170239	-7.88297612385e-05	-7.88297612385e-05	0	-7.88297612385e-05	nan	23595	23595	0
0.019	-127.333333	0.105739732327	-0.000260267673198	-0.000260267673198	0	-0.000260267673198	nan	23595	23595	0
0.02	-126.333333	0.105548487348	-0.000451512652051	-0.000451512652051	0	-0.000451512652051	nan	23595	23595	0
0.021	-125.333333	0.105347435339	-0.000652564660738	-0.000652564660738	0	-0.000652564660738	nan	23595	23595	0
0.022	-124.333333	0.105136576338	-0.000863423662403	-0.000863423662403	0	-0.000863423662403	nan	23595	23595	0
0.023	-123.333333	0.104915910379	-8.40896210302e-05	-8.40896210302e-05	0	-8.40896210302e-05	nan	23716	23716	0
0.024	-122.333333	0.104685437498	-0.000314562501693	-0.000314562501693	0	-0.000314562501693	nan	23716	23716	0
0.025	-121.333333	0.104445157733	-0.000554842266691	-0.000554842266691	0	-0.000554842266691	nan	23716	23716	0
0.026	-120.333333	0.104195071118	-0.000804928881731	-0.000804928881731	0	-0.000804928881731	nan	23716	23716	0
0.027	-119.333333	0.103935177688	-0.00106482231163	-0.00106482231163	0	-0.00106482231163	nan	23716	23716	0
0.028	-118.333333	0.103665477479	-0.000334522521336	-0.000334522521336	0	-0.000334522521336	nan	23837	23837	0
0.029	-117.333333	0.103385970524	-0.000614029476424	-0.000614029476424	0	-0.000614029476424	nan	23837	23837	0
0.03	-116.333333	0.103096656858	-0.000903343142348	-0.000903343142348	0	-0.000903343142348	nan	23837	23837	0
0.031	-115.333333	0.102797536515	-0.000202463484823	-0.000202463484823	0	-0.000202463484823	nan	23958	23958	0
0.032	-114.333333	0.10248860953	-0.000511390469665	-0.000511390469665	0	-0.000511390469665	nan	23958	23958	0
0.033	-113.333333	0.102169875937	-0.000830124062824	-0.000830124062824	0	-0.000830124062824	nan	23958	23958	0
0.034	-112.333333	0.10184133577	-0.000158664230222	-0.000158664230222	0	-0.000158664230222	nan	24079	24079	0
0.035	-111.333333	0.101502989062	-0.000497010938183	-0.000497010938183	0	-0.000497010938183	nan	24079	24079	0
0.036	-110.333333	0.101154835847	-0.000845164152979	-0.000845164152979	0	-0.000845164152979	nan	24079	24079	0
0.037	-109.333333	0.100796876159	-0.000203123840831	-0.000203123840831	0	-0.000203123840831	nan	24200	24200	0
0.038	-108.333333	0.100429110032	-0.000570889968109	-0.000570889968109	0	-0.000570889968109	nan	24200	24200	0
0.039	-107.333333	0.100051537499	-0.000948462501489	-0.000948462501489	0	-0.000948462501489	nan	24200	24200	0
0.04	-106.333333	0.0996641585923	-0.000335841407719	-0.000335841407719	0	-0.000335841407719	nan	24321	24321	0
