requested_relative_ms	sample_relative_ms	z_mm	central_radius_mm	central_crossings
33	32.9166666667	0	2.13856333759	1
33	32.9166666667	0.25	2.03199533759	1
33	32.9166666667	0.5	1.92542733759	1
33	32.9166666667	1	1.87322723148	1
33	32.9166666667	1.25	1.65163865579	1
33	32.9166666667	1.5	1.43005008009	1
33	32.9166666667	1.75	1.13524949621	1
55	54.9166666667	0	3.37690928816	1
55	54.9166666667	0.25	3.37351195483	1
55	54.9166666667	0.5	3.37011462149	1
55	54.9166666667	0.75	3.36071773256	1
55	54.9166666667	1	3.38609906589	1
55	54.9166666667	1.25	3.41148039923	1
55	54.9166666667	1.5	3.43686173256	1
55	54.9166666667	1.75	3.49759266909	1
55	54.9166666667	2	3.54933133576	1
55	54.9166666667	2.25	3.60107000243	1
55	54.9166666667	2.5	3.65280866909	1
55	54.9166666667	2.75	3.79797893981	1
55	54.9166666667	3	3.79679760648	1
55	54.9166666667	3.25	3.73960109396	2
55	54.9166666667	3.5	3.79283671881	1
55	54.9166666667	4	2.45443556651	2
55	54.9166666667	4.25	3.27382569775	1
55	54.9166666667	4.5	1.78894581672	2
55	54.9166666667	4.75	1.38919313039	1
55	54.9166666667	5	0.989440444048	1
55	54.9166666667	5.25	0.277498629027	1
62.5	62.4166666667	0	3.26266221961	1
62.5	62.4166666667	0.25	3.30186179271	1
62.5	62.4166666667	0.5	3.32333965331	1
62.5	62.4166666667	0.75	3.34948959995	1
62.5	62.4166666667	1	3.37563954658	1
62.5	62.4166666667	1.25	3.40178949322	1
62.5	62.4166666667	1.5	3.41173211826	1
62.5	62.4166666667	1.75	3.44024332423	1
62.5	62.4166666667	2	3.46875453021	1
62.5	62.4166666667	2.25	3.50839007901	1
62.5	62.4166666667	2.5	3.54290233914	1
62.5	62.4166666667	2.75	3.57741459926	1
62.5	62.4166666667	3	3.61192685939	1
62.5	62.4166666667	3.25	3.7178608479	1
62.5	62.4166666667	3.5	3.70817534683	1
62.5	62.4166666667	3.75	3.69848984577	1
62.5	62.4166666667	4	3.6888043447	1
62.5	62.4166666667	4.5	3.58190644575	1
62.5	62.4166666667	4.75	3.38493429549	1
62.5	62.4166666667	5	3.18796214524	1
62.5	62.4166666667	5.25	2.55495506565	2
62.5	62.4166666667	5.5	2.03296174717	1
62.5	62.4166666667	5.75	1.43546076064	1
76	75.9166666667	0	2.67269359351	1
76	75.9166666667	0.25	2.70152497024	1
76	75.9166666667	0.5	2.73035634698	2
76	75.9166666667	0.75	2.78318810496	2
76	75.9166666667	1	2.91697702952	1
76	75.9166666667	1.25	2.97689082262	1
76	75.9166666667	1.5	3.03573369475	1
76	75.9166666667	1.75	3.08869794235	1
76	75.9166666667	2	3.14166218994	1
76	75.9166666667	2.25	3.19462643754	1
76	75.9166666667	2.5	3.24175848118	1
76	75.9166666667	2.75	3.28255805474	1
76	75.9166666667	3	3.3233576283	1
76	75.9166666667	3.25	3.36415720186	1
76	75.9166666667	3.5	3.40417372037	1
76	75.9166666667	3.75	3.43043171611	1
76	75.9166666667	4	3.45668971184	1
76	75.9166666667	4.25	3.48294770758	1
76	75.9166666667	4.5	3.51012024497	1
76	75.9166666667	4.75	3.50429847336	1
76	75.9166666667	5	3.49847670174	1
76	75.9166666667	5.25	3.55100233927	1
76	75.9166666667	5.5	3.46677074909	1
76	75.9166666667	5.75	3.38253915891	1
76	75.9166666667	6	3.29830756873	1
76	75.9166666667	6.25	3.21731890212	1
76	75.9166666667	6.5	3.02638556879	1
76	75.9166666667	6.75	2.83545223546	1
76	75.9166666667	7	2.50652382839	1
76	75.9166666667	7.25	2.183537523	1
76	75.9166666667	7.5	1.21743705619	1
90	89.9166666667	0	2.52483919867	1
90	89.9166666667	0.25	2.5011967769	1
90	89.9166666667	0.5	2.50512954104	1
90	89.9166666667	0.75	2.50906230518	1
90	89.9166666667	1	2.51299506932	1
90	89.9166666667	1.25	2.55649908972	1
90	89.9166666667	1.5	2.61818352469	1
90	89.9166666667	1.75	2.67986795966	1
90	89.9166666667	2	2.74155239463	2
90	89.9166666667	2.25	2.90341864539	1
90	89.9166666667	2.5	2.98212195382	1
90	89.9166666667	2.75	3.06082526225	1
90	89.9166666667	3	3.13504839046	1
90	89.9166666667	3.25	3.18624636271	1
90	89.9166666667	3.5	3.23744433496	1
90	89.9166666667	3.75	3.28864230721	1
90	89.9166666667	4	3.32474007338	1
90	89.9166666667	4.25	3.34486547359	1
90	89.9166666667	4.5	3.3649908738	1
90	89.9166666667	4.75	3.38511627402	1
90	89.9166666667	5	3.38975195273	1
90	89.9166666667	5.25	3.37459720353	1
90	89.9166666667	5.5	3.35944245433	1
90	89.9166666667	5.75	3.34428770514	1
90	89.9166666667	6	3.30807147385	1
90	89.9166666667	6.25	3.23453358698	1
90	89.9166666667	6.5	3.16099570011	1
90	89.9166666667	6.75	3.10244338214	1
90	89.9166666667	7	2.94076165523	1
90	89.9166666667	7.25	2.7977463206	1
90	89.9166666667	7.5	2.57656113541	1
90	89.9166666667	7.75	2.34492417969	1
90	89.9166666667	8	2.0027373665	1
90	89.9166666667	8.25	1.1247725081	1
106.667	106.666666667	0	2.40362788659	1
106.667	106.666666667	0.25	2.40611454614	1
106.667	106.666666667	0.5	2.41016566461	1
106.667	106.666666667	0.75	2.43089938926	1
106.667	106.666666667	1	2.45163311391	1
106.667	106.666666667	1.25	2.47236683857	1
106.667	106.666666667	1.5	2.49550027481	1
106.667	106.666666667	1.75	2.53985192903	1
106.667	106.666666667	2	2.58420358324	1
106.667	106.666666667	2.25	2.62855523746	1
106.667	106.666666667	2.5	2.68565073241	1
106.667	106.666666667	2.75	2.74874526712	1
106.667	106.666666667	3	2.81183980183	2
106.667	106.666666667	3.25	2.92143419891	1
106.667	106.666666667	3.5	2.98231460895	1
106.667	106.666666667	3.75	3.03624051513	1
106.667	106.666666667	4	3.09016642132	1
106.667	106.666666667	4.25	3.14343459996	1
106.667	106.666666667	4.5	3.16644099655	1
106.667	106.666666667	4.75	3.18944739314	1
106.667	106.666666667	5	3.21245378972	1
106.667	106.666666667	5.25	3.23056745117	1
106.667	106.666666667	5.5	3.21258770704	1
106.667	106.666666667	5.75	3.1946079629	1
106.667	106.666666667	6	3.17662821876	1
106.667	106.666666667	6.25	3.14937617428	1
106.667	106.666666667	6.5	3.06247916254	1
106.667	106.666666667	6.75	2.9755821508	1
106.667	106.666666667	7	2.88868513906	1
106.667	106.666666667	7.25	2.78700571192	1
106.667	106.666666667	7.5	2.55425845917	1
106.667	106.666666667	7.75	2.32151120642	1
106.667	106.666666667	8	2.08772340749	1
106.667	106.666666667	8.25	1.48849116847	1
106.667	106.666666667	8.5	0.698291986981	1
