requested_relative_ms	sample_relative_ms	z_mm	central_radius_mm	central_crossings
33	32.9166666667	0	2.13856333759	1
33	32.9166666667	0.25	2.03199533759	1
33	32.9166666667	0.5	1.92542733759	1
33	32.9166666667	1	1.87322723148	1
33	32.9166666667	1.25	1.65163865579	1
33	32.9166666667	1.5	1.43005008009	1
33	32.9166666667	1.75	1.13524949621	1
55	54.9166666667	0	3.37690928816	1
55	54.9166666667	0.25	3.37351195483	1
55	54.9166666667	0.5	3.37011462149	1
55	54.9166666667	0.75	3.36071773256	1
55	54.9166666667	1	3.38609906589	1
55	54.9166666667	1.25	3.41148039923	1
55	54.9166666667	1.5	3.43686173256	1
55	54.9166666667	1.75	3.49759266909	1
55	54.9166666667	2	3.54933133576	1
55	54.9166666667	2.25	3.60107000243	1
55	54.9166666667	2.5	3.65280866909	1
55	54.9166666667	2.75	3.79797893981	1
55	54.9166666667	3	3.79679760648	1
55	54.9166666667	3.25	3.73960109396	2
55	54.9166666667	3.5	3.79283671881	1
55	54.9166666667	4	2.45443556651	2
55	54.9166666667	4.25	3.27382569775	1
55	54.9166666667	4.5	1.78894581672	2
55	54.9166666667	4.75	1.38919313039	1
55	54.9166666667	5	0.989440444048	1
55	54.9166666667	5.25	0.277498629027	1
62.5	62.4166666667	0	3.26199911768	1
62.5	62.4166666667	0.25	3.30116400562	1
62.5	62.4166666667	0.5	3.32284780603	1
62.5	62.4166666667	0.75	3.34904844637	1
62.5	62.4166666667	1	3.37524908671	1
62.5	62.4166666667	1.25	3.40144972705	1
62.5	62.4166666667	1.5	3.41145756843	1
62.5	62.4166666667	1.75	3.44013953214	1
62.5	62.4166666667	2	3.46882149586	1
62.5	62.4166666667	2.25	3.49750345957	1
62.5	62.4166666667	2.5	3.54343784552	1
62.5	62.4166666667	2.75	3.5781420033	1
62.5	62.4166666667	3	3.61284616108	1
62.5	62.4166666667	3.25	3.7199716332	1
62.5	62.4166666667	3.5	3.71027280591	1
62.5	62.4166666667	3.75	3.70057397862	1
62.5	62.4166666667	4	3.69087515133	1
62.5	62.4166666667	4.5	3.5880134964	1
62.5	62.4166666667	4.75	3.39007729848	1
62.5	62.4166666667	5	3.19214110056	1
62.5	62.4166666667	5.25	2.55595492334	2
62.5	62.4166666667	5.5	2.03279644119	1
62.5	62.4166666667	5.75	1.43985375844	1
62.5	62.4166666667	6	0.925337731105	1
76	75.9166666667	0	2.62472544713	1
76	75.9166666667	0.25	2.64137966271	1
76	75.9166666667	0.5	2.65803387829	1
76	75.9166666667	0.75	2.67468809387	1
76	75.9166666667	1	2.71527667357	1
76	75.9166666667	1.25	2.77343276276	2
76	75.9166666667	1.5	2.91030956607	1
76	75.9166666667	1.75	2.96838315914	1
76	75.9166666667	2	3.02788036404	1
76	75.9166666667	2.25	3.08702123918	1
76	75.9166666667	2.5	3.14616211431	1
76	75.9166666667	2.75	3.19844119731	1
76	75.9166666667	3	3.24204460882	1
76	75.9166666667	3.25	3.28564802034	1
76	75.9166666667	3.5	3.32925143185	1
76	75.9166666667	3.75	3.37017374214	1
76	75.9166666667	4	3.39873450973	1
76	75.9166666667	4.25	3.42729527733	1
76	75.9166666667	4.5	3.45585604492	1
76	75.9166666667	4.75	3.48705201065	1
76	75.9166666667	5	3.48734283242	1
76	75.9166666667	5.25	3.4876336542	1
76	75.9166666667	5.5	3.48792447597	1
76	75.9166666667	5.75	3.48002116552	1
76	75.9166666667	6	3.41153130426	1
76	75.9166666667	6.25	3.343041443	1
76	75.9166666667	6.5	3.30916240052	1
76	75.9166666667	6.75	3.12519736556	1
76	75.9166666667	7	2.94123233059	1
76	75.9166666667	7.25	2.69137804822	1
76	75.9166666667	7.5	2.40292033138	1
76	75.9166666667	7.75	1.71258426227	2
76	75.9166666667	8	0.369690989604	1
90	89.9166666667	0	3.51407397982	2
90	89.9166666667	0.25	3.33193994979	1
90	89.9166666667	0.5	3.16430668753	1
90	89.9166666667	0.75	2.99667342527	1
90	89.9166666667	1	2.82866822839	1
90	89.9166666667	1.25	2.74473901922	1
90	89.9166666667	1.5	2.64973305974	1
90	89.9166666667	1.75	2.55472710027	1
90	89.9166666667	2	2.49136717346	1
90	89.9166666667	2.25	2.4637578984	1
90	89.9166666667	2.5	2.43614862335	1
90	89.9166666667	2.75	2.4085393483	1
90	89.9166666667	3	2.42495386836	1
90	89.9166666667	3.25	2.45527937529	1
90	89.9166666667	3.5	2.48560488223	1
90	89.9166666667	3.75	2.51593038917	1
90	89.9166666667	4	2.58919956456	1
90	89.9166666667	4.25	2.66461845464	1
90	89.9166666667	4.5	2.74003734471	2
90	89.9166666667	4.75	2.89478217203	1
90	89.9166666667	5	2.97054257758	1
90	89.9166666667	5.25	3.04630298313	1
90	89.9166666667	5.5	3.12206338868	1
90	89.9166666667	5.75	3.18434945897	1
90	89.9166666667	6	3.22401061159	1
90	89.9166666667	6.25	3.2636717642	1
90	89.9166666667	6.5	3.30333291681	1
90	89.9166666667	6.75	3.32219025483	1
90	89.9166666667	7	3.3252638941	1
90	89.9166666667	7.25	3.32833753337	1
90	89.9166666667	7.5	3.33141117265	1
90	89.9166666667	7.75	3.3139208383	1
90	89.9166666667	8	3.26856636069	1
90	89.9166666667	8.25	3.22321188307	1
90	89.9166666667	8.5	3.22600952118	1
90	89.9166666667	8.75	3.0901105377	1
90	89.9166666667	9	2.95421155422	1
90	89.9166666667	9.25	2.81831257074	1
90	89.9166666667	9.5	2.70167270955	1
90	89.9166666667	9.75	2.38791768947	1
90	89.9166666667	10	2.07416266939	1
90	89.9166666667	10.25	1.04254533597	1
