requested_relative_ms	sample_relative_ms	z_mm	central_radius_mm	central_crossings
50	50	0	3.0648562722	2
50	50	0.25	3.027089994	1
50	50	0.5	2.9815224668	1
50	50	0.75	2.9274010943	1
50	50	1	2.88686675129	1
50	50	1.25	2.86094768585	1
50	50	1.5	2.8016364982	2
50	50	1.75	2.87100730998	1
50	50	2	2.90471798764	1
50	50	2.25	2.95058421337	1
50	50	2.5	3.00544722283	1
50	50	2.75	3.04974528129	1
50	50	3	3.09917578873	1
50	50	3.25	3.12026603835	1
50	50	3.5	3.14087174366	1
50	50	3.75	3.1038463597	1
50	50	4	3.04377454394	1
50	50	4.25	2.88495948421	1
50	50	4.5	2.61014946722	1
50	50	4.75	1.96228443625	1
50.5	50.5	0	3.0522359326	1
50.5	50.5	0.25	3.01733262389	1
50.5	50.5	0.5	2.97827545666	1
50.5	50.5	0.75	2.92940132403	1
50.5	50.5	1	2.89162935304	1
50.5	50.5	1.25	2.86326227805	1
50.5	50.5	1.5	2.80360057975	2
50.5	50.5	1.75	2.81133031733	2
50.5	50.5	2	2.88240761396	1
50.5	50.5	2.25	2.93248080893	1
50.5	50.5	2.5	2.9841993516	1
50.5	50.5	2.75	3.02766138232	1
50.5	50.5	3	3.07718705945	1
50.5	50.5	3.25	3.10024060041	1
50.5	50.5	3.5	3.12409178358	1
50.5	50.5	3.75	3.09337384034	1
50.5	50.5	4	3.04445400851	1
50.5	50.5	4.25	2.89679025771	1
50.5	50.5	4.5	2.6509150563	1
50.5	50.5	4.75	2.10764806447	1
51	51	0	3.03750084201	1
51	51	0.25	3.0066913781	1
51	51	0.5	2.97271975446	1
51	51	0.75	2.92904894887	1
51	51	1	2.89416522794	1
51	51	1.25	2.86512687218	1
51	51	1.5	2.80623702469	2
51	51	1.75	2.80791857635	2
51	51	2	2.87169793423	1
51	51	2.25	2.9165016848	1
51	51	2.5	2.96459088509	1
51	51	2.75	3.00684605897	1
51	51	3	3.05574804915	1
51	51	3.25	3.08051869135	1
51	51	3.5	3.10691564863	1
51	51	3.75	3.0822996896	1
51	51	4	3.04274503582	1
