requested_relative_ms	sample_time_s	sample_relative_ms	file	jet_top_mm	base_radius_mm	max_radius_mm	max_to_base_ratio	upper_mean_radius_mm	lower_mean_radius_mm	upper_to_lower_ratio	layers_with_multiple_central_crossings	max_central_crossings
50	0.1965	50	interface-000196500us.dat	4.80203929754	3.0648562722	3.14087174366	1.02480229567	3.10278104235	2.89167489929	1.0730047984	2	2
50.5	0.197	50.5	interface-000197000us.dat	4.84888812234	3.0522359326	3.12409178358	1.02354203691	3.08451093322	2.89323379831	1.06611188319	2	2
51	0.1975	51	interface-000197500us.dat	4.89568913356	3.03750084201	3.10691564863	1.0228526049	3.06646562754	2.89345956563	1.05979211321	3	2
51.5	0.198	51.5	interface-000198000us.dat	4.94244129629	3.02402275333	3.08940665352	1.02162149743	3.0489146792	2.89240411047	1.05411089279	2	2
52	0.1985	52	interface-000198500us.dat	4.98872449033	3.01416526011	3.0707995502	1.01878937789	3.03155247463	2.89029581576	1.0488727341	2	2
52.5	0.199	52.5	interface-000199000us.dat	5.03576201539	3.00744256776	3.05014616362	1.01419930552	3.02586632752	2.86535120399	1.05601935404	2	2
53	0.1995	53	interface-000199500us.dat	5.08378537453	3.00410197809	3.0290172426	1.00829374791	3.00764601853	2.86322935462	1.05043838478	2	2
53.5	0.2	53.5	interface-000200000us.dat	5.13329652895	3.00470927865	3.00931935904	1.001534285	2.98988864099	2.85347022662	1.04780789829	3	2
54	0.2005	54	interface-000200500us.dat	5.18404576147	3.00874142252	3.00874142252	1	2.97303150777	2.85052085687	1.04297833872	3	2
54.5	0.201	54.5	interface-000201000us.dat	5.23545041139	3.01678240176	3.01678240176	1	2.95708122157	2.8506433791	1.03733818241	3	2
55	0.2015	55	interface-000201500us.dat	5.287652785	3.03043275861	3.03043275861	1	2.9418405524	2.84783513497	1.03300943101	2	2
55.5	0.202	55.5	interface-000202000us.dat	5.34056479544	3.05003393433	3.05003393433	1	2.92835160837	2.84424565562	1.0295705656	2	2
56	0.2025	56	interface-000202500us.dat	5.39440949822	3.0457090709	3.0457090709	1	2.91607972154	2.84182787445	1.02612820001	1	2
56.5	0.203	56.5	interface-000203000us.dat	5.44900633948	3.0574236641	3.0574236641	1	2.9026286341	2.84199737162	1.02133403186	1	2
57	0.2035	57	interface-000203500us.dat	5.50452845596	3.06196959967	3.06196959967	1	2.89622854057	2.84512278032	1.01796258517	1	2
57.5	0.204	57.5	interface-000204000us.dat	5.56056044633	3.05501558897	3.05679673231	1.00058302267	2.88359585361	2.85237162508	1.01094676032	3	2
58	0.2045	58	interface-000204500us.dat	5.61725648389	3.02876212233	3.06670750317	1.01252834634	2.87170724438	2.86525190544	1.00225297431	2	2
58.5	0.205	58.5	interface-000205000us.dat	5.67341195899	2.97910130518	3.06153676496	1.02767125094	2.85623122018	2.88224717696	0.990973724606	2	2
59	0.2055	59	interface-000205500us.dat	5.73207646517	2.9109483708	3.0321500858	1.04163650452	2.84522500305	2.87653538822	0.98911524423	3	2
59.5	0.206	59.5	interface-000206000us.dat	5.79025270337	2.7372271685	3.02106198291	1.10369428511	2.83124212697	2.897409981	0.977163102747	4	3
60	0.2065	60	interface-000206500us.dat	5.84779919886	2.64563507198	3.01338805402	1.13900366907	2.81738443851	2.91921337319	0.965117680121	2	3
60.5	0.207	60.5	interface-000207000us.dat	5.90626032308	2.55897014628	3.01831332938	1.17950314261	2.80008122848	2.93326144565	0.954596540527	5	2
61	0.2075	61	interface-000207500us.dat	5.96463109671	2.48652358354	2.9986202808	1.20594885995	2.79336654797	2.94260642479	0.949283099649	3	3
61.5	0.208	61.5	interface-000208000us.dat	6.02305196536	2.43512203321	2.98750929719	1.22684171735	2.77530890586	2.92184779289	0.949847186636	5	2
62	0.2085	62	interface-000208500us.dat	6.08259626311	2.41502914901	2.98153385052	1.23457468484	2.7622919153	2.88825928386	0.95638640573	5	3
62.5	0.209	62.5	interface-000209000us.dat	6.14133850829	2.51274284436	2.98009472049	1.18599271994	2.74125273699	2.85190766349	0.961199681212	5	4
63	0.2095	63	interface-000209500us.dat	6.20134940857	2.64252406899	2.96499754997	1.12203237229	2.71801533155	2.79102017477	0.973842953956	5	5
63.5	0.21	63.5	interface-000210000us.dat	6.26067450603	2.79527895623	2.96719846213	1.06150352383	2.69954512854	2.72048027645	0.992304613237	8	4
64	0.2105	64	interface-000210500us.dat	6.3203476871	5.55663663564	5.55663663564	1	2.68169980253	2.65133955778	1.01145090777	7	5
64.5	0.211	64.5	interface-000211000us.dat	6.37939161774	2.67639715553	2.95480333477	1.10402274515	2.6696955902	2.61239808818	1.02193291378	4	3
65	0.2115	65	interface-000211500us.dat	6.43882871088	2.63728951975	2.94664715997	1.11730135729	2.6456125952	2.61723362864	1.01084311551	4	3
65.5	0.212	65.5	interface-000212000us.dat	6.49867861707	2.80295437625	2.93473193504	1.04701380797	2.62405281916	2.59991566723	1.0092838211	6	5
66	0.2125	66	interface-000212500us.dat	6.55695496991	6.28831779502	6.28831779502	1	2.61064027218	2.56653778739	1.01718364912	5	3
66.5	0.213	66.5	interface-000213000us.dat	6.61466617995	5.63765184709	5.98182785921	1.06104953294	2.6077639993	2.52053237684	1.0346084118	9	3
67	0.2135	67	interface-000213500us.dat	6.67181472784	4.12636836283	5.69120397549	1.37922828867	2.60451927592	2.59782833163	1.00257559139	7	4
67.5	0.214	67.5	interface-000214000us.dat	6.72740050734	3.95389538166	6.27738067805	1.58764460667	2.60975464266	2.52925882154	1.03182585366	8	3
68	0.2145	68	interface-000214500us.dat	6.78338567406	3.78198236681	5.81639873482	1.53792328221	2.62958585054	2.48159535686	1.05963522347	10	4
68.5	0.215	68.5	interface-000215000us.dat	6.83776271327	3.672281784	6.61412188764	1.80109323758	2.62362328195	3.48414133091	0.753018615712	8	3
69	0.2155	69	interface-000215500us.dat	6.89058538463	3.58768517622	9.48376754182	2.64342245096	2.62108867086	5.12402264504	0.511529486194	10	5
69.5	0.216	69.5	interface-000216000us.dat	6.94399033402	3.5192083657	6.66480579846	1.89383665469	2.63720012027	3.98098417358	0.662449285222	7	4
70	0.2165	70	interface-000216500us.dat	6.99509695467	3.47173202964	8.36715646746	2.41008130697	2.64200651515	5.3598423151	0.492926164582	8	5
70.5	0.217	70.5	interface-000217000us.dat	7.04590408051	3.42384632025	9.01153373096	2.63199130103	2.64278896103	5.36576876541	0.492527553194	14	3
71	0.2175	71	interface-000217500us.dat	7.09539080747	3.42057898642	9.61289790386	2.81031309087	2.63818591887	5.39954717033	0.488593920128	12	2
71.5	0.218	71.5	interface-000218000us.dat	7.14454253208	3.41326417258	8.06712385297	2.36346307964	2.62913305105	5.01882714374	0.523854075017	11	3
72	0.2185	72	interface-000218500us.dat	7.19333703633	3.40527634515	8.62451616031	2.53269200093	2.59675083291	4.90821967404	0.529061656845	13	3
72.5	0.219	72.5	interface-000219000us.dat	7.24074680383	3.39858232456	9.09913560455	2.67733270393	2.5837940081	4.7018666558	0.549525156123	11	3
73	0.2195	73	interface-000219500us.dat	7.28773520956	3.39239749909	9.51222077313	2.80398177857	2.58815999635	5.76395886528	0.449024716664	12	2
73.5	0.22	73.5	interface-000220000us.dat	7.33329781742	3.37603148708	9.92420169859	2.93960578761	2.57188258264	5.65705137898	0.454633060643	11	4
74	0.2205	74	interface-000220500us.dat	7.37839530187	3.37390638373	8.66171010476	2.56726450578	2.55399021527	4.7527201372	0.5373744175	10	3
74.5	0.221	74.5	interface-000221000us.dat	7.42291717419	3.36637264522	9.04998301798	2.68834854954	2.53544260751	4.94471089164	0.512758513708	12	2
75	0.2215	75	interface-000221500us.dat	7.46588460404	3.35524173529	9.38671595512	2.79762732336	2.51537322802	4.75448024421	0.52905325058	11	3
75.5	0.222	75.5	interface-000222000us.dat	7.50730743105	3.34088827951	9.72250447879	2.91015552313	2.49141271319	4.96530202365	0.501764585783	12	2
76	0.2225	76	interface-000222500us.dat	7.54818210955	3.32124706007	8.66885904053	2.61012170541	2.47344718416	4.86140141726	0.50879303556	9	3
