requested_relative_ms	sample_relative_ms	z_mm	central_radius_mm	central_crossings
33	33	0	3.05209045477	1
33	33	0.25	3.05671936586	1
33	33	0.5	3.06787550921	1
33	33	0.75	3.08265938369	1
33	33	1	3.12691477093	1
33	33	1.25	3.20457001834	1
33	33	1.5	3.39618842599	1
33	33	1.75	3.45116495682	1
33	33	2	3.52678851904	1
33	33	2.25	3.40120191494	1
33	33	2.5	1.27051913323	4
33	33	2.75	0.948111781168	1
33	33	3	0.913442160293	1
33	33	3.25	0.677316610771	1
33	33	3.5	0.389577365901	1
55	55	0	3.03043275861	1
55	55	0.25	2.97867692198	1
55	55	0.5	2.93963809118	1
55	55	0.75	2.89946342874	1
55	55	1	2.86602213879	1
55	55	1.25	2.84285700118	1
55	55	1.5	2.82257145127	1
55	55	1.75	2.80826165488	2
55	55	2	2.80384125391	2
55	55	2.25	2.82664430255	1
55	55	2.5	2.84870835867	1
55	55	2.75	2.87426296618	1
55	55	3	2.90542380986	1
55	55	3.25	2.93105321033	1
55	55	3.5	2.95417127635	1
55	55	3.75	2.96437503141	1
55	55	4	2.95417943404	1
55	55	4.25	2.92052251063	1
55	55	4.5	2.82306159258	1
55	55	4.75	2.70331396214	1
55	55	5	2.41744913656	1
55	55	5.25	1.53387028354	1
62.5	62.5	0	2.51274284436	4
62.5	62.5	0.25	2.46961250248	2
62.5	62.5	0.5	2.51696946606	2
62.5	62.5	0.75	2.60882844042	2
62.5	62.5	1	2.73505474028	1
62.5	62.5	1.25	2.88601354269	1
62.5	62.5	1.5	2.94925250301	1
62.5	62.5	1.75	2.98009472049	1
62.5	62.5	2	2.95220203407	1
62.5	62.5	2.25	2.90509649036	1
62.5	62.5	2.5	2.78277191917	2
62.5	62.5	2.75	2.71561196954	1
62.5	62.5	3	2.68727001432	1
62.5	62.5	3.25	2.65979666677	1
62.5	62.5	3.5	2.68407409201	1
62.5	62.5	3.75	2.70855368798	1
62.5	62.5	4	2.73167868798	1
62.5	62.5	4.25	2.76440721513	1
62.5	62.5	4.5	2.77258951791	1
62.5	62.5	4.75	2.78621322094	1
62.5	62.5	5	2.73876652585	1
62.5	62.5	5.25	2.67422944033	1
62.5	62.5	5.5	2.49559937636	1
62.5	62.5	5.75	2.1936554943	1
62.5	62.5	6	1.62501732686	1
76	76	0	3.32124706007	3
76	76	0.25	3.3640082541	2
76	76	0.5	3.39777424741	2
76	76	0.75	3.45724652886	2
76	76	1	3.51091445592	2
76	76	1.25	3.6293153088	2
76	76	1.5	7.53870672833	1
76	76	1.75	4.02286037373	2
76	76	2	5.60521021954	2
76	76	2.75	8.66885904053	1
76	76	3	7.37523570982	1
76	76	3.25	6.22597255776	1
76	76	3.75	2.27286706313	2
76	76	4	2.27973806526	1
76	76	4.25	2.29507624786	1
76	76	4.5	2.39843033437	1
76	76	4.75	2.457350801	1
76	76	5	2.50509118562	1
76	76	5.25	2.53838371216	1
76	76	5.5	2.54985492751	1
76	76	5.75	2.54065835201	1
76	76	6	2.50273191278	1
76	76	6.25	2.43070930971	1
76	76	6.5	2.29433426722	1
76	76	6.75	2.12800309093	1
76	76	7	1.90911716342	1
76	76	7.25	1.5330090916	1
76	76	7.5	0.685314324371	1
90	90	0	2.91855123359	1
90	90	0.25	2.85813992495	1
90	90	0.5	2.73544245707	1
90	90	0.75	2.62936660817	1
90	90	1	2.53327918813	1
90	90	1.25	2.44524054173	1
90	90	1.5	2.40913713022	2
90	90	1.75	2.44960819046	2
90	90	2	2.58975458686	2
90	90	2.25	3.02470095258	2
90	90	2.5	3.33305760828	2
90	90	2.75	3.54737530551	2
90	90	3	9.09206435711	1
90	90	3.25	3.85822851865	2
90	90	3.5	4.05731265685	2
90	90	3.75	4.34974149767	2
90	90	4	4.77277237594	2
90	90	4.25	6.21303504157	4
90	90	4.5	8.83335801235	1
90	90	4.75	8.19104394737	1
90	90	5	7.40002509904	2
90	90	5.25	5.80467168421	1
90	90	5.5	2.29804052283	2
90	90	5.75	2.00378628554	1
90	90	6.25	1.86007560146	2
90	90	6.5	1.86758093195	2
90	90	6.75	1.91840934846	1
90	90	7	1.93613322905	1
90	90	7.25	1.96829604794	1
90	90	7.5	1.92727040692	1
90	90	8	1.67778550493	1
90	90	8.25	1.268225401	1
90	90	8.5	0.506768444339	1
