requested_relative_ms	sample_relative_ms	z_mm	central_radius_mm	central_crossings
33	32.9166666667	0	2.13856333759	1
33	32.9166666667	0.25	2.03199533759	1
33	32.9166666667	0.5	1.92542733759	1
33	32.9166666667	1	1.87322723148	1
33	32.9166666667	1.25	1.65163865579	1
33	32.9166666667	1.5	1.43005008009	1
33	32.9166666667	1.75	1.13524949621	1
55	54.9166666667	0	3.37690928816	1
55	54.9166666667	0.25	3.37351195483	1
55	54.9166666667	0.5	3.37011462149	1
55	54.9166666667	0.75	3.36071773256	1
55	54.9166666667	1	3.38609906589	1
55	54.9166666667	1.25	3.41148039923	1
55	54.9166666667	1.5	3.43686173256	1
55	54.9166666667	1.75	3.49759266909	1
55	54.9166666667	2	3.54933133576	1
55	54.9166666667	2.25	3.60107000243	1
55	54.9166666667	2.5	3.65280866909	1
55	54.9166666667	2.75	3.79797893981	1
55	54.9166666667	3	3.79679760648	1
55	54.9166666667	3.25	3.73960109396	2
55	54.9166666667	3.5	3.79283671881	1
55	54.9166666667	4	2.45443556651	2
55	54.9166666667	4.25	3.27382569775	1
55	54.9166666667	4.5	1.78894581672	2
55	54.9166666667	4.75	1.38919313039	1
55	54.9166666667	5	0.989440444048	1
55	54.9166666667	5.25	0.277498629027	1
62.5	62.4166666667	0	3.26277293407	1
62.5	62.4166666667	0.25	3.30198317954	1
62.5	62.4166666667	0.5	3.3234370925	1
62.5	62.4166666667	0.75	3.34957369869	1
62.5	62.4166666667	1	3.37571030488	1
62.5	62.4166666667	1.25	3.40184691107	1
62.5	62.4166666667	1.5	3.41174871497	1
62.5	62.4166666667	1.75	3.44020922724	1
62.5	62.4166666667	2	3.46866973952	1
62.5	62.4166666667	2.25	3.50820332208	1
62.5	62.4166666667	2.5	3.54267293828	1
62.5	62.4166666667	2.75	3.57714255449	1
62.5	62.4166666667	3	3.61161217069	1
62.5	62.4166666667	3.25	3.71728499972	1
62.5	62.4166666667	3.5	3.70763681209	1
62.5	62.4166666667	3.75	3.69798862445	1
62.5	62.4166666667	4	3.68834043682	1
62.5	62.4166666667	4.5	3.58101661983	1
62.5	62.4166666667	4.75	3.38409952138	1
62.5	62.4166666667	5	3.18718242293	1
62.5	62.4166666667	5.25	2.55455972634	2
62.5	62.4166666667	5.5	2.03256640786	1
62.5	62.4166666667	5.75	1.43247945756	1
76	75.9166666667	0	2.67064897735	1
76	75.9166666667	0.25	2.6971324352	1
76	75.9166666667	0.5	2.72361589304	2
76	75.9166666667	0.75	2.77984180146	2
76	75.9166666667	1	2.91473470211	1
76	75.9166666667	1.25	2.97438724449	1
76	75.9166666667	1.5	3.03228104659	1
76	75.9166666667	1.75	3.0862458278	1
76	75.9166666667	2	3.14021060902	1
76	75.9166666667	2.25	3.19417539024	1
76	75.9166666667	2.5	3.23971532476	1
76	75.9166666667	2.75	3.28091735035	1
76	75.9166666667	3	3.32211937594	1
76	75.9166666667	3.25	3.36332140152	1
76	75.9166666667	3.5	3.40094510971	1
76	75.9166666667	3.75	3.4277841289	1
76	75.9166666667	4	3.45462314809	1
76	75.9166666667	4.25	3.48146216728	1
76	75.9166666667	4.5	3.50455628501	1
76	75.9166666667	4.75	3.50067955075	1
76	75.9166666667	5	3.49680281649	1
76	75.9166666667	5.25	3.53834092668	1
76	75.9166666667	5.5	3.45942150299	1
76	75.9166666667	5.75	3.38050207929	1
76	75.9166666667	6	3.3015826556	1
76	75.9166666667	6.25	3.21560308034	1
76	75.9166666667	6.5	3.02672201617	1
76	75.9166666667	6.75	2.83784095201	1
76	75.9166666667	7	2.51686123997	1
76	75.9166666667	7.25	2.18887897692	1
76	75.9166666667	7.5	1.24827140339	1
90	89.9166666667	0	2.53601190812	1
90	89.9166666667	0.25	2.51659704742	1
90	89.9166666667	0.5	2.51128754902	1
90	89.9166666667	0.75	2.50597805062	1
90	89.9166666667	1	2.50066855223	1
90	89.9166666667	1.25	2.55496128533	1
90	89.9166666667	1.5	2.61157375868	1
90	89.9166666667	1.75	2.66818623203	1
90	89.9166666667	2	2.73607604589	2
90	89.9166666667	2.25	2.90021243838	1
90	89.9166666667	2.5	2.98035982437	1
90	89.9166666667	2.75	3.06050721035	1
90	89.9166666667	3	3.12925055375	1
90	89.9166666667	3.25	3.18441063913	1
90	89.9166666667	3.5	3.23957072451	1
90	89.9166666667	3.75	3.29473080989	1
90	89.9166666667	4	3.32309052475	1
90	89.9166666667	4.25	3.34597472966	1
90	89.9166666667	4.5	3.36885893457	1
90	89.9166666667	4.75	3.39174313948	1
90	89.9166666667	5	3.38733361739	1
90	89.9166666667	5.25	3.37546061845	1
90	89.9166666667	5.5	3.36358761952	1
90	89.9166666667	5.75	3.36925498208	1
90	89.9166666667	6	3.30206448048	1
90	89.9166666667	6.25	3.23487397888	1
90	89.9166666667	6.5	3.16768347727	1
90	89.9166666667	6.75	3.09601086586	1
90	89.9166666667	7	2.93864564847	1
90	89.9166666667	7.25	2.79226106737	1
90	89.9166666667	7.5	2.58655840465	1
90	89.9166666667	7.75	2.33740151847	1
90	89.9166666667	8	2.00843311699	1
90	89.9166666667	8.25	1.13938503945	1
