requested_relative_ms	sample_time_s	sample_relative_ms	file	jet_top_mm	base_radius_mm	max_radius_mm	max_to_base_ratio	upper_mean_radius_mm	lower_mean_radius_mm	upper_to_lower_ratio	layers_with_multiple_central_crossings	max_central_crossings
50	0.1965	50	interface-000196500us.dat	4.80203929754	3.0648562722	3.14087174366	1.02480229567	3.10278104235	2.89167489929	1.0730047984	2	2
50.5	0.197	50.5	interface-000197000us.dat	4.84888812234	3.0522359326	3.12409178358	1.02354203691	3.08451093322	2.89323379831	1.06611188319	2	2
51	0.1975	51	interface-000197500us.dat	4.89568913356	3.03750084201	3.10691564863	1.0228526049	3.06646562754	2.89345956563	1.05979211321	3	2
51.5	0.198	51.5	interface-000198000us.dat	4.94244129629	3.02402275333	3.08940665352	1.02162149743	3.0489146792	2.89240411047	1.05411089279	2	2
52	0.1985	52	interface-000198500us.dat	4.98872449033	3.01416526011	3.0707995502	1.01878937789	3.03155247463	2.89029581576	1.0488727341	2	2
52.5	0.199	52.5	interface-000199000us.dat	5.03576201539	3.00744256776	3.05014616362	1.01419930552	3.02586632752	2.86535120399	1.05601935404	2	2
53	0.1995	53	interface-000199500us.dat	5.08378537453	3.00410197809	3.0290172426	1.00829374791	3.00764601853	2.86322935462	1.05043838478	2	2
53.5	0.2	53.5	interface-000200000us.dat	5.13329652895	3.00470927865	3.00931935904	1.001534285	2.98988864099	2.85347022662	1.04780789829	3	2
54	0.2005	54	interface-000200500us.dat	5.18404576147	3.00874142252	3.00874142252	1	2.97303150777	2.85052085687	1.04297833872	3	2
54.5	0.201	54.5	interface-000201000us.dat	5.23545041139	3.01678240176	3.01678240176	1	2.95708122157	2.8506433791	1.03733818241	3	2
55	0.2015	55	interface-000201500us.dat	5.287652785	3.03043275861	3.03043275861	1	2.9418405524	2.84783513497	1.03300943101	2	2
55.5	0.202	55.5	interface-000202000us.dat	5.34056479544	3.05003393433	3.05003393433	1	2.92835160837	2.84424565562	1.0295705656	2	2
56	0.2025	56	interface-000202500us.dat	5.39440949822	3.0457090709	3.0457090709	1	2.91607972154	2.84182787445	1.02612820001	1	2
56.5	0.203	56.5	interface-000203000us.dat	5.44900633948	3.0574236641	3.0574236641	1	2.9026286341	2.84199737162	1.02133403186	1	2
57	0.2035	57	interface-000203500us.dat	5.50452845596	3.06196959967	3.06196959967	1	2.89622854057	2.84512278032	1.01796258517	1	2
57.5	0.204	57.5	interface-000204000us.dat	5.56056044633	3.05501558897	3.05679673231	1.00058302267	2.88359585361	2.85237162508	1.01094676032	3	2
58	0.2045	58	interface-000204500us.dat	5.61725648389	3.02876212233	3.06670750317	1.01252834634	2.87170724438	2.86525190544	1.00225297431	2	2
58.5	0.205	58.5	interface-000205000us.dat	5.67341195899	2.97910130518	3.06153676496	1.02767125094	2.85623122018	2.88224717696	0.990973724606	2	2
59	0.2055	59	interface-000205500us.dat	5.73207646517	2.9109483708	3.0321500858	1.04163650452	2.84522500305	2.87653538822	0.98911524423	3	2
59.5	0.206	59.5	interface-000206000us.dat	5.79026053026	2.7372192257	3.02106287897	1.10369781514	2.83124224361	2.89741130521	0.97716269641	4	3
60	0.2065	60	interface-000206500us.dat	5.8482359502	2.64525855669	3.01330097787	1.13913287238	2.81738014543	2.91925847402	0.965101299013	2	3
60.5	0.207	60.5	interface-000207000us.dat	5.90715144715	2.55917898563	3.01775016896	1.17918683527	2.80028959351	2.93333800217	0.954642660152	5	2
61	0.2075	61	interface-000207500us.dat	5.96598683414	2.48818310252	2.9969571313	1.20447612086	2.79479673047	2.94228095537	0.949874187024	3	3
61.5	0.208	61.5	interface-000208000us.dat	6.02363373946	2.44109881412	2.98787139831	1.22398625612	2.77840242856	2.92203022508	0.950846573973	6	2
62	0.2085	62	interface-000208500us.dat	6.08095050626	2.40911410948	2.98244388221	1.23798365153	2.75582114479	2.89944949458	0.950463579358	4	2
62.5	0.209	62.5	interface-000209000us.dat	6.13803336477	2.47649251086	2.98001800665	1.20332203452	2.74925123409	2.85686052051	0.962333027585	4	2
63	0.2095	63	interface-000209500us.dat	6.19589458108	2.58861391846	2.96811812238	1.14660517786	2.72743999487	2.80134565119	0.973617801756	6	6
63.5	0.21	63.5	interface-000210000us.dat	6.25248994652	2.73403216056	2.97168146253	1.08692264319	2.70965898964	2.73662154645	0.99014750255	6	5
64	0.2105	64	interface-000210500us.dat	6.30990864919	5.41118762978	5.41118762978	1	2.68970703852	2.6680726532	1.00810861927	6	4
64.5	0.211	64.5	interface-000211000us.dat	6.36722244347	5.57433834657	5.57433834657	1	2.68078488407	2.60185704603	1.03033519392	6	5
65	0.2115	65	interface-000211500us.dat	6.42436284317	2.76081080974	2.95399288465	1.06997294933	2.65997226969	2.57859457867	1.03155893202	6	3
65.5	0.212	65.5	interface-000212000us.dat	6.48127616609	2.69522856794	2.94604476205	1.0930593409	2.63900065788	2.59366022515	1.01748125382	6	3
66	0.2125	66	interface-000212500us.dat	6.53792263493	3.21292743586	3.21292743586	1	2.62062243634	2.64320430335	0.99145663202	7	4
66.5	0.213	66.5	interface-000213000us.dat	6.59329344333	6.15356358923	6.15356358923	1	2.61294875076	2.55710740499	1.02183770055	4	3
67	0.2135	67	interface-000213500us.dat	6.64750525384	6.38516563584	6.38516563584	1	2.6098980653	2.51464690202	1.03787854398	7	3
67.5	0.214	67.5	interface-000214000us.dat	6.70163496715	5.46603880483	5.93111340958	1.085084395	2.60889688918	2.60993382802	0.999602695354	6	4
68	0.2145	68	interface-000214500us.dat	6.75458073321	4.08578311312	6.49141765226	1.58878175188	2.61401045239	2.49133318567	1.04924161386	9	2
68.5	0.215	68.5	interface-000215000us.dat	6.8062950109	3.9223332168	6.28915383705	1.60342160888	2.62498318914	2.46500379555	1.06490026258	9	3
69	0.2155	69	interface-000215500us.dat	6.85768882503	3.75607223981	5.73966494739	1.52810291734	2.62474256588	2.55233880504	1.02836761353	9	3
69.5	0.216	69.5	interface-000216000us.dat	6.90768180773	3.66744492316	9.19837756243	2.50811607404	2.61859183503	5.0919894845	0.514257117577	8	2
70	0.2165	70	interface-000216500us.dat	6.95721273294	3.59816417601	5.93664770456	1.64991018035	2.63150405684	3.704118741	0.710426484904	11	5
70.5	0.217	70.5	interface-000217000us.dat	7.0052397668	3.5406977457	7.44314163509	2.10216803853	2.64314897481	5.53472712494	0.477557233654	9	3
71	0.2175	71	interface-000217500us.dat	7.0527427214	3.49782929013	8.63091629429	2.46750643854	2.64526051384	5.41195916041	0.488780575655	9	3
71.5	0.218	71.5	interface-000218000us.dat	7.09968539165	3.44840081348	9.19979647623	2.66784430634	2.64345596033	5.46027962221	0.484124649876	13	3
72	0.2185	72	interface-000218500us.dat	7.14602139547	3.44454246809	9.79513081516	2.84366672959	2.63551560682	5.78587553407	0.455508520931	10	3
72.5	0.219	72.5	interface-000219000us.dat	7.19172206457	3.43738131724	8.03579186742	2.33776562033	2.60123179755	4.97399766802	0.522966026758	11	2
73	0.2195	73	interface-000219500us.dat	7.23775624105	3.42836872035	8.63996796353	2.52013965482	2.59231069585	4.96332171381	0.522293505302	11	3
73.5	0.22	73.5	interface-000220000us.dat	7.28209183631	3.41884049939	9.13352997117	2.67152854098	2.59564253003	5.67374901333	0.457482790291	10	3
74	0.2205	74	interface-000220500us.dat	7.3266807375	3.41018287154	9.56465730659	2.80473442829	2.5826445481	5.89479117929	0.438123161541	11	2
74.5	0.221	74.5	interface-000221000us.dat	7.37045519467	3.38933054204	9.98729600878	2.94668692974	2.56678804422	5.83846832032	0.439633805204	9	2
75	0.2215	75	interface-000221500us.dat	7.41239275113	3.38713826789	8.63432645846	2.54915086884	2.54795239676	4.79588072992	0.531279349977	11	3
75.5	0.222	75.5	interface-000222000us.dat	7.45448966435	3.37850559245	9.03139767348	2.67319305129	2.53107428486	5.01616581114	0.504583456799	12	2
76	0.2225	76	interface-000222500us.dat	7.49474546161	3.36662543474	9.37972209637	2.78609018978	2.50341090733	5.02994961041	0.497700991308	11	3
