frame	time_after_contact_ms	role	measurement_or_model	raw_file	raw_sha256	annotated_file	annotated_sha256
90	-92.5	RING APPROACH MEASUREMENT	Ring lower-face height above water: 77.920 mm	raw/frame_0090.png	1c963301b489af98bc5b0b4fa73eb1b1385da4be93f005c04c3134f3118c9eff	annotated/frame_0090_annotated.jpg	2474d892f99653d4140de730860f1d78a090b7c417d2c3e04ebb682e1a469780
201	-37	RING APPROACH MEASUREMENT	Ring lower-face height above water: 43.530 mm	raw/frame_0201.png	3be01565ffea4c70c1bab0053585f17131b5bc3d3193677ff7838c40a89aa5b9	annotated/frame_0201_annotated.jpg	b60e776fac0adebbd48ccf0616b3be16d8d7a34a9d97428a3b203dde19f8c163
242	-16.5	RING APPROACH MEASUREMENT	Ring lower-face height above water: 20.180 mm	raw/frame_0242.png	6378e0b65295a5ad12794c36c19e5c6d60ecb9af201f52fe9c83bf2e76efa96d	annotated/frame_0242_annotated.jpg	54cc48ebb9a0799bfcb54d2b601c997397c2fb02b99fa7286d48bd418479bb46
275	0	FIRST WATER CONTACT	Ring lower face at the waterline; physical time origin.	raw/frame_0275.png	c9423314e070489c202b24f1df02a9d073dd103d53875a90fc9d46f125a9574e	annotated/frame_0275_annotated.jpg	cbda1524e0c6e7e2f090b4b61f0caf514f762155040fd9b10cb992349b7c638a
354	39.5	FIRST-JET TRACK POINT	Tracked liquid centroid height: 78.860 mm	raw/frame_0354.png	54688ac065e3ece16c1125184fbdb2924ba040f47e71083d42ffaf31d56f1a77	annotated/frame_0354_annotated.jpg	5f3789d7e2973d86fbdea6330672f8ec2524ed16c9cc1e8ba2e81d1a06a6d297
374	49.5	CROWN-SPLASH MAXIMUM	Tracked crown height: 34.380 mm	raw/frame_0374.png	9871de932ede0a5c34e8a9e33a1a97ae04b5cc02448f606b719cd6869a129d4d	annotated/frame_0374_annotated.jpg	8ea1b53d87206b3bbe48c61f064a05b98e3e37ad82bcda9eb4a32f9d549d4665
380	52.5	FIRST-JET TRACK POINT	Tracked liquid centroid height: 107.570 mm	raw/frame_0380.png	4c194fd0c88308238240836a11a758ea5578ac1e7aab93b73a550d8ca7525f57	annotated/frame_0380_annotated.jpg	409ab6b74f9958401fb5163f355bc1fbbc1ad86515c4f935e1f29f588eacb662
406	65.5	FIRST-JET TRACK POINT	Tracked liquid centroid height: 133.430 mm	raw/frame_0406.png	6bf69d03e27477d608d70a9ce1ef8e638f07bc40688ad59cbba0aaaa0d66fbf8	annotated/frame_0406_annotated.jpg	f1361c58e324844a63ce04132686e63c95350993cc42ddbf4b49104168c353c3
415	70	FIRST-JET TRACK POINT	Tracked liquid centroid height: 140.694 mm	raw/frame_0415.png	b98ddd73d50fee358b20f89919c1e26e786e62521d7ed3d7f08c0f3712c48714	annotated/frame_0415_annotated.jpg	bc5b817cb9ad00256b6b90da6a383394092cdda83a38cfc7492f3bbbdd0b3c38
428	76.5	FIRST-JET TRACK POINT	Tracked liquid centroid height: 151.740 mm	raw/frame_0428.png	eec544ea967d478a4911bc7a276f6c4f04cfbd7f182fbd33b89a5057abe7dbb7	annotated/frame_0428_annotated.jpg	79ec2cb8236c73c16e01de257158f5473ed850b5675f18c4a2ffa862b10055d5
447	86	FIRST-JET TRACK POINT	Tracked liquid centroid height: 179.170 mm	raw/frame_0447.png	eae3b90729ecbde2dc935fdd1ea1cf4f8c657af9ff6d58ba77e862dadf89d84c	annotated/frame_0447_annotated.jpg	3f017cdd37c388bbfa1f6d01df3bd113485d8bfb97704ac39bee0dda4425d99c
540	132.5	SECOND-JET TRACK POINT	Tracked liquid centroid height: 81.830 mm	raw/frame_0540.png	97e85961b3167ef5f0406b5d312b2e953fd51c1f4657763a1cef9dc42a733bea	annotated/frame_0540_annotated.jpg	1a9cf9cddf636a4ceeb7e4353698097dac9effca0459cb016ad22158d7065129
565	145	SECOND-JET TRACK POINT	Tracked liquid centroid height: 73.500 mm	raw/frame_0565.png	58ca86185f0eba83e6f65377739dc4c304deb47a695e2274091ca347123cd50e	annotated/frame_0565_annotated.jpg	580b6cf1024a0ce2299da7ab1276440b8139e7860b652080a6ca82f706a08e6b
584	154.5	SECOND-JET TRACK POINT	Tracked liquid centroid height: 87.380 mm	raw/frame_0584.png	0ca47cd9df3721826f0355e8f7e98a467b8dd4ead26882412c4e13d7b2862000	annotated/frame_0584_annotated.jpg	6d820f2da2344ce3e6ac51c8f0098be3f11731683d49fdc3bbd53ed5ae341a58
598	161.5	SECOND-JET TRACK POINT	Tracked liquid centroid height: 106.940 mm	raw/frame_0598.png	0ded670aaef3886750af05e4f127b49567cac57df03d0f1db8716b1f25441067	annotated/frame_0598_annotated.jpg	74bbfb56139c2b68bb2205f1e602c10e59f62aae7180a22ab0bf5b0e3cc66648
638	181.5	SECOND-JET TRACK POINT	Tracked liquid centroid height: 128.710 mm	raw/frame_0638.png	e072c00fe994c314d7abae6d55f6863c0d374cd8fd8d6c4a5fcfd3656f446dd0	annotated/frame_0638_annotated.jpg	cc2a6879ba0d0261b3b5012f5c208fa98cfe14aa0ac51e08150c9c61a83818dc
663	194	SECOND-JET TRACK POINT	Tracked liquid centroid height: 142.270 mm	raw/frame_0663.png	2bb52873eafdc3995ffd3c50c845e48a160423f34448f042b5f3af059df9e83c	annotated/frame_0663_annotated.jpg	358a603ea7cc64c5c7ce63b63980319f862b22430d88d1e5f186484a39b5d9e3
824	274.5	FIRST-JET BALLISTIC-FIT PEAK FRAME	Model: 348.4 mm at frame 824.6	raw/frame_0824.png	567f9c5faaef685e9a28830d5bad3ee7178dad703159c075600a6ce509201765	annotated/frame_0824_annotated.jpg	9d42b9b47236982966671238d80d5dbc5c50a3dae691ea95e9893cf1c0210abe
