frame	time_after_contact_ms	phase	use	observation	ring_lower_face_down_mm	position_basis	ring_speed_down_mps	speed_basis	raw_file	raw_sha256	annotated_file	annotated_sha256
103	-98.5	approach	trajectory_fit	Ring airborne; manual lower-face height is 85.161 mm.	-85.16129	manual pixel measurement	0.379265381148	ballistic estimate from fitted impact speed	raw/frame_0103.png	9dd04111120be4adc868fb3b45a1fb1195e7b143b227720bcad0c8769e3692fa	annotated/frame_0103_annotated.jpg	2c25a3270cca7ff313d9201de22d129beb0a74ed2eb860bfc42b2d3131ba63dc
155	-72.5	approach	trajectory_fit	Ring airborne; manual lower-face height is 71.613 mm.	-71.6129	manual pixel measurement	0.634325381148	ballistic estimate from fitted impact speed	raw/frame_0155.png	6017a8b0e66823891a2904f7ae5c90325da086f22ac07402206e3add268f244a	annotated/frame_0155_annotated.jpg	7839fb3462e4919bd21635bff766cb62c0d0a8855bf41c617e8c19e1fc7c0b3d
280	-10	approach	geometry_limit	Near impact; about 5 deg of depth-direction tilt has developed.	-12.9650038115	trajectory model	1.24745038115	ballistic estimate from fitted impact speed	raw/frame_0280.png	f44d3d74c1c206e86514146b2a556927e9c7a40c8f2e47eb6ab738c0ed0f31b4	annotated/frame_0280_annotated.jpg	51f15696cc23d433f4ace341d46e867f343645702e85f54b57eeaec1d9f6961d
300	0	contact	time_origin	First water contact; this frame defines physical time zero.	0	contact-frame definition	1.34555038115	ballistic estimate from fitted impact speed	raw/frame_0300.png	b5ff1eba22470058d769fc6c81406e8b94600a722a642905f8a4795438b74967	annotated/frame_0300_annotated.jpg	482622925780c70576e6ceedb122f42974c64496b95c97d3d1119a6323eca5ea
335	17.5	early_entry	morphology_holdout	Shallow crown splash and the initial open air cavity.	18.6196067942	trajectory model	0.883133377638	post-contact exponential trajectory fit	raw/frame_0335.png	ba8a5b1ce4524eb24390ded2fa6dfbebe833756d43414cb2e3fe8cc46ea4ae1f	annotated/frame_0335_annotated.jpg	a8eeb8f7b4009091b781e89afa418e658562cf7299b19a4a6cc53159dca7dd3d
360	30	early_entry	morphology_holdout	A thin central rise is visible inside the expanding crown.	28.9315106806	trajectory model	0.782632016804	post-contact exponential trajectory fit	raw/frame_0360.png	db6d07d65f08fb3e7c1b026f2090887a496b59c044b3a57f6ebd2fd41bb47814	annotated/frame_0360_annotated.jpg	79527142e2360923a2f47706b24d7142898d989cf6e3308ebe7e61945a009138
384	42	first_jet	trajectory_fit	Open cavity and crown; manual ring depth is 38.064 mm.	38.064	manual pixel measurement	0.745136874845	post-contact exponential trajectory fit	raw/frame_0384.png	23e8759d353c5b4c838eccca0ace6d0c23ea4e3cbc622df64f0f3da37b0e854c	annotated/frame_0384_annotated.jpg	7eed711ede0460dd115d6c44369539af1cc53743bdd4e7f14e296260b1ca8619
405	52.5	first_jet	morphology_target	Thin, slightly left-curved first jet with a surrounding crown.	45.80645	manual pixel measurement	0.731439382188	post-contact exponential trajectory fit	raw/frame_0405.png	5355ebd23f9c5b816e7c223a8aca2d633b9b8545d26527fc6be7f8aa3bd4567f	annotated/frame_0405_annotated.jpg	afc6e7ca7d54554ff32e1ec64fb3bde5c74acc1f03d4b3a705dc347b7f96a0d1
430	65	first_jet	morphology_holdout	The thin first jet persists while the cavity remains open.	54.9001682982	trajectory model	0.724630154048	post-contact exponential trajectory fit	raw/frame_0430.png	2bfac178d2c3973ff1b837403aeabcb90971d21f1326c7af67e92b3d497ae201	annotated/frame_0430_annotated.jpg	d116b412703f5b1d52719dc38dac710f9a8d846244a3035e995404aa971585b0
455	77.5	cavity_taper	morphology_holdout	The first jet persists as the air cavity narrows.	63.9392047775	trajectory model	0.722026570994	post-contact exponential trajectory fit	raw/frame_0455.png	127224d5e0b15465ee298e0b53f60a939611310e0b97da4612a6b096a622c884	annotated/frame_0455_annotated.jpg	8f06242ddee314fa28b5cd869a06b7a3e209620954ed93bd4fd99712941ea3a7
