frame	physical_time_after_contact_ms	quantity	value	unit	use	status_or_note
103	-98.5	lower_face_height_above_water	85.16129	mm	impact_trajectory_fit	user_pixel_measurement
110	-95.0	lower_face_height_above_water	51.612903	mm	not_fitted	user_reports_sequence_transcription_error
155	-72.5	lower_face_height_above_water	71.6129	mm	impact_trajectory_fit	user_pixel_measurement
180	-60.0	tilt_sequence_start	0	deg	qualitative_limit	axis_begins_rotating_toward_positive_camera_depth
280	-10.0	tilt_sequence_end	5	deg	qualitative_limit	approximate_total_rotation
300	0	first_water_contact	0	ms	time_origin	user_classification_confirmed_by_frame_montage
335	17.5	early_crown_and_open_cavity	1	boolean	morphology_holdout	shallow_crown_and_initial_air_cavity
360	30.0	thin_central_rise_with_crown	1	boolean	morphology_holdout	central_column_visible_before_any_fitted_shape_frame
384	42.0	lower_face_depth_below_water	38.064	mm	post_impact_trajectory_fit	user_pixel_measurement
405	52.5	lower_face_depth_below_water	45.80645	mm	post_impact_trajectory_fit	user_pixel_measurement
405	52.5	first_jet_height	105.80	mm	morphology_target	slight_left_curvature_with_surrounding_crown
430	65.0	persistent_thin_first_jet	1	boolean	morphology_holdout	near_equal_diameter_column_with_open_cavity
455	77.5	first_jet_and_narrowing_cavity	1	boolean	morphology_holdout	thin_column_persists_as_cavity_tapers
492	96.0	cavity_closure	1	boolean	topology_target	hourglass_air_shape_first_jet_not_finished
520	110.0	detached_ring_and_relaxing_surface	1	boolean	morphology_holdout	ring_separated_from_air_cavity_surface_near_flattening
550	125.0	later_central_jet_onset	1	boolean	morphology_holdout	thin_center_rise_on_nearly_flat_surrounding_surface
587	143.5	secondary_jet_prominent	1	boolean	chronology_target	typical_clear_example
620	160.0	persistent_later_jet	1	boolean	morphology_holdout	tall_narrow_column_on_mostly_flat_surrounding_surface
