time_s	time_after_contact_ms	ring_center_lab_m	all_water_top_m	coherent_top_m	coherent_top_radius_m	central_coherent_top_m	detached_water_top_m	water_samples	coherent_samples	detached_samples
0.138	0.833333333	0.000426807606676	-0.000573492393324	-0.000573492393324	0	-0.000573492393324	nan	36285	36285	0
0.139	1.83333333	-0.000861338229079	-0.000861638229079	-0.000861638229079	0	-0.000861638229079	nan	36391	36391	0
0.14	2.83333333	-0.00210745610567	-0.000107756105665	-0.000107756105665	0	-0.000107756105665	nan	36501	36501	0
0.141	3.83333333	-0.00331465726619	-0.000314957266191	-0.000314957266191	0	-0.000314957266191	-0.00131495726619	36710	36706	4
0.142	4.83333333	-0.00448582263486	-0.000486122634856	-0.000486122634856	0	-0.000486122634856	-0.00148612263486	36823	36813	10
0.143	5.83333333	-0.00562361986698	0.000376070133016	0.000376070133016	0	0.000376070133016	-0.00162391986698	36940	36926	14
0.144	6.83333333	-0.00673051913688	0.000269170863121	0.000269170863121	0	0.000269170863121	-0.00173082913688	37057	37038	19
0.145	7.83333333	-0.00780880775694	0.00019088224306	0.00019088224306	0	0.00019088224306	-0.00180911775694	37176	37152	24
0.146	8.83333333	-0.00886060371455	0.000139086285454	0.000139086285454	0	0.000139086285454	-0.00186091371455	37297	37267	30
0.147	9.83333333	-0.00988786820684	0.000111821793161	0.000111821793161	0	0.000111821793161	-0.00188817820684	37418	37381	37
0.148	10.8333333	-0.0108924172476	0.000107282752414	0.000107282752414	0	0.000107282752414	-0.00189272724759	37536	37493	43
0.149	11.8333333	-0.0118759324148	0.000123767585201	0.000123767585201	0	0.000123767585201	-0.0018762424148	37652	37604	48
0.15	12.8333333	-0.0128399708027	0.000159729197261	0.000159729197261	0	0.000159729197261	-0.00284028080274	37766	37734	32
0.151	13.8333333	-0.0137859742372	0.000213725762806	0.000213725762806	0	0.000213725762806	-0.00278627423719	37878	37842	36
0.152	14.8333333	-0.0147152778086	0.000284422191439	0.000284422191439	0	0.000284422191439	-0.00271557780856	37992	37952	40
0.153	15.8333333	-0.0156291177733	0.00037058222675	0.00037058222675	0	0.00037058222675	-0.00262941777325	38101	38058	43
0.154	16.8333333	-0.0165286388702	0.00047106112984	0.00047106112984	0	0.00047106112984	-0.00352893887016	38213	38167	46
0.155	17.8333333	-0.0174149010955	0.000584798904469	0.000584798904469	0	0.000584798904469	nan	38326	38326	0
0.156	18.8333333	-0.0182888859763	0.000710814023732	0.000710814023732	0	0.000710814023732	nan	38444	38444	0
