time_s	time_after_contact_ms	ring_center_lab_m	all_water_top_m	coherent_top_m	coherent_top_radius_m	central_coherent_top_m	detached_water_top_m	water_samples	coherent_samples	detached_samples
0.13	-7.25	0.0109203254537	-0.00107997454628	-0.00107997454628	0	-0.00107997454628	nan	34969	34969	0
0.131	-6.25	0.00964093795372	-0.000359362046281	-0.000359362046281	0.018	-0.00135936204628	nan	35193	35193	0
0.132	-5.25	0.00835174045372	-0.000648549546281	-0.000648549546281	0	-0.000648549546281	nan	35332	35332	0
0.133	-4.25	0.00705273295372	-0.000947557046281	-0.000947557046281	0	-0.000947557046281	nan	35453	35453	0
0.134	-3.25	0.00574391545372	-0.000256374546281	-0.000256374546281	0.028	-0.00125637454628	nan	35667	35667	0
0.135	-2.25	0.00442528795372	-0.000575012046281	-0.000575012046281	0.018	-0.00157500204628	nan	35798	35798	0
0.136	-1.25	0.00309685045372	-0.000903449546281	-0.000903449546281	0	-0.000903449546281	nan	35937	35937	0
0.137	-0.25	0.00175860295372	-0.000241697046281	-0.000241697046281	0.024	-0.00124169704628	nan	36155	36155	0
0.138	0.75	0.000426807606676	-0.000573492393324	-0.000573492393324	0	-0.000573492393324	nan	36283	36283	0
0.139	1.75	-0.000861338229079	-0.000861638229079	-0.000861638229079	0	-0.000861638229079	nan	36390	36390	0
0.14	2.75	-0.00210745610567	-0.000107756105665	-0.000107756105665	0	-0.000107756105665	nan	36507	36507	0
0.141	3.75	-0.00331465726619	-0.000314957266191	-0.000314957266191	0	-0.000314957266191	nan	36705	36705	0
0.142	4.75	-0.00448582263486	0.000513867365144	0.000513867365144	0	0.000513867365144	nan	36817	36817	0
0.143	5.75	-0.00562361986698	0.000376070133016	0.000376070133016	0	0.000376070133016	nan	36926	36926	0
0.144	6.75	-0.00673051913688	0.000269170863121	0.000269170863121	0	0.000269170863121	nan	37036	37036	0
0.145	7.75	-0.00780880775694	0.00019088224306	0.00019088224306	0	0.00019088224306	nan	37144	37144	0
0.146	8.75	-0.00886060371455	0.000139086285454	0.000139086285454	0	0.000139086285454	nan	37256	37256	0
0.147	9.75	-0.00988786820684	0.000111821793161	0.000111821793161	0	0.000111821793161	nan	37368	37368	0
0.148	10.75	-0.0108924172476	0.000107282752414	0.000107282752414	0	0.000107282752414	nan	37481	37481	0
0.149	11.75	-0.0118962100083	0.000103489991699	0.000103489991699	0	0.000103489991699	nan	37592	37592	0
0.15	12.75	-0.0128598583466	0.000139841653431	0.000139841653431	0	0.000139841653431	nan	37702	37702	0
0.151	13.75	-0.0138055006059	0.000194199394077	0.000194199394077	0	0.000194199394077	nan	37810	37810	0
0.152	14.75	-0.0147344697392	0.000265230260764	0.000265230260764	0	0.000265230260764	nan	37917	37917	0
0.153	15.75	-0.0156480000236	0.000351699976369	0.000351699976369	0	0.000351699976369	nan	38027	38027	0
0.154	16.75	-0.0165472343652	0.000452465634759	0.000452465634759	0	0.000452465634759	nan	38133	38133	0
0.155	17.75	-0.0174442264909	0.000555473509149	0.000555473509149	0	0.000555473509149	nan	38242	38242	0
0.156	18.75	-0.0183178181671	-0.000318118167056	-0.000318118167056	0	-0.000318118167056	nan	38351	38351	0
0.157	19.75	-0.0191800704732	-0.00018037047324	-0.00018037047324	0	-0.00018037047324	nan	38462	38462	0
0.158	20.75	-0.0200318228396	-3.21228395722e-05	-3.21228395722e-05	0	-3.21228395722e-05	nan	38526	38526	0
0.159	21.75	-0.0208738525549	0.000125847445064	0.000125847445064	0	0.000125847445064	nan	38619	38619	0
0.16	22.75	-0.0217137853425	0.000285914657515	0.000285914657515	0.024	-0.000714085342485	nan	38716	38716	0
0.161	23.75	-0.0225384089062	-0.000538708906232	-0.000538708906232	0	-0.000538708906232	nan	38814	38814	0
0.162	24.75	-0.0233553181083	-0.000355618108295	-0.000355618108295	0	-0.000355618108295	nan	38924	38924	0
0.163	25.75	-0.024165084027	-0.000165384026955	-0.000165384026955	0.022	-0.00116538402696	nan	39037	39037	0
0.164	26.75	-0.0249682354647	3.14645352556e-05	3.14645352556e-05	0.023	-0.000968535464744	nan	39083	39083	0
0.165	27.75	-0.025765262078	0.000234437921965	0.000234437921965	0.025	-0.000765562078035	nan	39177	39177	0
0.166	28.75	-0.0265500449084	-0.000550344908435	-0.000550344908435	0.021	-0.00155034490843	nan	39270	39270	0
0.167	29.75	-0.0273361906475	-0.000336490647462	-0.000336490647462	0.022	-0.00133649064746	nan	39380	39380	0
0.168	30.75	-0.0281174704588	-0.000117770458785	-0.000117770458785	0.023	-0.00111777045879	nan	39493	39493	0
0.169	31.75	-0.028894244557	0.000105455443007	0.000105455443007	0.024	-0.000894544556993	nan	39545	39545	0
0.17	32.75	-0.0296668464907	-0.000667146490731	-0.000667146490731	0.021	-0.00166714649073	nan	39627	39627	0
0.171	33.75	-0.0304419758603	-0.000442275860282	-0.000442275860282	0.022	-0.00144227586028	nan	39741	39741	0
0.172	34.75	-0.0312071085012	-0.000207408501173	-0.000207408501173	0.024	-0.00120740850117	nan	39850	39850	0
0.173	35.75	-0.0319689307707	3.07692293377e-05	3.07692293377e-05	0.026	-0.00196923077066	nan	39903	39903	0
0.174	36.75	-0.0327276877287	-0.000727987728714	-0.000727987728714	0.022	-0.00172798772871	nan	39980	39980	0
0.175	37.75	-0.03350157152	-0.000501871519978	-0.000501871519978	0.023	-0.00150187151998	nan	40092	40092	0
0.176	38.75	-0.0342413729858	-0.000241672985782	-0.000241672985782	0.024	-0.00224167298578	nan	40203	40203	0
0.177	39.75	-0.0349922156386	7.48436135018e-06	7.48436135018e-06	0.027	-0.00199251563865	nan	40267	40267	0
0.178	40.75	-0.0357408057784	-0.000741105778446	-0.000741105778446	0.022	-0.00174110577845	nan	40336	40336	0
0.179	41.75	-0.0364906383221	-0.000490938322081	-0.000490938322081	0.023	-0.00149093832208	nan	40449	40449	0
0.18	42.75	-0.0372352030449	-0.000235503044948	-0.000235503044948	0.025	-0.00123550304495	nan	40563	40563	0
0.181	43.75	-0.0379779799969	2.17200030505e-05	2.17200030505e-05	0.039	-0.00197827999695	nan	40585	40585	0
0.182	44.75	-0.038721672123	-0.000721972123012	-0.000721972123012	0.023	-0.00172197212301	nan	40682	40682	0
0.183	45.75	-0.0394586901711	-0.000458990171085	-0.000458990171085	0.024	-0.00145899017108	nan	40805	40805	0
0.184	46.75	-0.0401968594168	-0.000197159416785	-0.000197159416785	0.029	-0.00119715941678	nan	40917	40917	0
0.185	47.75	-0.0409304275788	-0.000930727578805	-0.000930727578805	0	-0.000930727578805	nan	40935	40935	0
0.186	48.75	-0.0416660706955	-0.00066637069545	-0.00066637069545	0	-0.00066637069545	nan	41050	41050	0
0.187	49.75	-0.0424043312741	-0.000404631274127	-0.000404631274127	0	-0.000404631274127	nan	41163	41163	0
0.188	50.75	-0.0431398756552	-0.000140175655152	-0.000140175655152	0	-0.000140175655152	nan	41259	41259	0
0.189	51.75	-0.0438744070468	0.00012529295325	0.00012529295325	0	0.00012529295325	nan	41287	41287	0
0.19	52.75	-0.044607669879	0.000392030121004	0.000392030121004	0	0.000392030121004	nan	41394	41394	0
0.191	53.75	-0.0453467407406	0.000652959259407	0.000652959259407	0	0.000652959259407	nan	41503	41503	0
0.192	54.75	-0.0460698274326	0.000929872567414	0.000929872567414	0	0.000929872567414	-0.0330701274326	41526	41524	2
0.193	55.75	-0.0467991207307	0.00120057926927	0.00120057926927	0	0.00120057926927	-0.0297994207307	41640	41639	1
0.194	56.75	-0.0475289239551	0.00147077604491	0.00147077604491	0	0.00147077604491	-0.0275292239551	41747	41745	2
0.195	57.75	-0.0482579500918	0.00274164990815	0.00274164990815	0	0.00274164990815	-0.0142582500918	41830	41826	4
0.196	58.75	-0.0489862780725	0.00301332192747	0.00301332192747	0	0.00301332192747	-0.0229865780725	41877	41870	7
0.197	59.75	-0.0497139750071	0.00328562499286	0.00328562499286	0	0.00328562499286	-0.0177142750071	41990	41978	12
0.198	60.75	-0.0504426246138	0.00355697538624	0.00355697538624	0	0.00355697538624	nan	42095	42095	0
0.199	61.75	-0.0511682312382	0.00383136876175	0.00383136876175	0	0.00383136876175	-0.0151685312382	42122	42121	1
