case	time	z_base	r_base	z_tip	r_tip	n_out
2810	0.000000	-1.991211e+00	4.882812e-03	-1.961914e+00	2.294922e-01	1
2810	0.010000	-1.991211e+00	4.882812e-03	-1.961914e+00	2.294922e-01	1
2810	0.020000	-1.991211e+00	4.882812e-03	-1.961914e+00	2.294922e-01	1
2810	0.030000	-1.991211e+00	4.882812e-03	-1.961914e+00	2.294922e-01	1
2810	0.040000	-1.991211e+00	4.882812e-03	-1.961914e+00	2.197266e-01	1
2810	0.050000	-1.991211e+00	4.882812e-03	-1.961914e+00	2.197266e-01	1
2810	0.060000	-1.991211e+00	4.882812e-03	-1.952148e+00	2.490234e-01	1
2810	0.070000	-1.991211e+00	4.882812e-03	-1.952148e+00	2.490234e-01	1
2810	0.080000	-1.981445e+00	4.882812e-03	-1.952148e+00	2.392578e-01	1
2810	0.090000	-1.981445e+00	4.882812e-03	-1.952148e+00	2.294922e-01	1
2810	0.100000	-1.981445e+00	4.882812e-03	-1.952148e+00	2.197266e-01	1
2810	0.110000	-1.981445e+00	4.882812e-03	-1.942383e+00	2.490234e-01	1
2810	0.120000	-1.981445e+00	4.882812e-03	-1.942383e+00	2.392578e-01	1
2810	0.130000	-1.971680e+00	4.882812e-03	-1.942383e+00	2.294922e-01	1
2810	0.140000	-1.971680e+00	4.882812e-03	-1.932617e+00	2.490234e-01	1
2810	0.150000	-1.971680e+00	4.882812e-03	-1.932617e+00	2.392578e-01	1
2810	0.160000	-1.961914e+00	4.882812e-03	-1.932617e+00	2.197266e-01	1
2810	0.170000	-1.961914e+00	4.882812e-03	-1.922852e+00	2.490234e-01	1
2810	0.180000	-1.952148e+00	4.882812e-03	-1.922852e+00	2.294922e-01	1
2810	0.190000	-1.952148e+00	4.882812e-03	-1.913086e+00	2.490234e-01	1
2810	0.200000	-1.942383e+00	4.882812e-03	-1.913086e+00	2.294922e-01	1
2810	0.210000	-1.942383e+00	4.882812e-03	-1.903320e+00	2.392578e-01	1
2810	0.220000	-1.932617e+00	4.882812e-03	-1.903320e+00	2.197266e-01	1
2810	0.230000	-1.932617e+00	4.882812e-03	-1.893555e+00	2.392578e-01	1
2810	0.240000	-1.922852e+00	4.882812e-03	-1.883789e+00	2.490234e-01	1
2810	0.250000	-1.913086e+00	4.882812e-03	-1.883789e+00	2.197266e-01	1
2810	0.260000	-1.913086e+00	4.882812e-03	-1.874023e+00	2.294922e-01	1
2810	0.270000	-1.903320e+00	4.882812e-03	-1.864258e+00	2.392578e-01	1
2810	0.280000	-1.893555e+00	4.882812e-03	-1.854492e+00	2.490234e-01	1
2810	0.290000	-1.883789e+00	4.882812e-03	-1.844727e+00	2.490234e-01	1
