case	time	z_low	r_low	z_maxk	r_maxk	qjet_low	ql_low	qjet_maxk	ql_maxk	z_jet
2810	0.000000	-1.991211e+00	4.882812e-03	-1.855469e-02	3.076172e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.961914e+00
2810	0.010000	-1.991211e+00	4.882812e-03	-1.855469e-02	3.369141e-01	0.000000e+00	0.000000e+00	7.700517e-02	5.514869e-01	-1.961914e+00
2810	0.020000	-1.991211e+00	4.882812e-03	-1.259766e-01	4.833984e-01	0.000000e+00	0.000000e+00	1.569074e-01	1.201212e+00	-1.961914e+00
2810	0.030000	-1.991211e+00	4.882812e-03	-1.650391e-01	5.419922e-01	0.000000e+00	0.000000e+00	2.207306e-01	1.555365e+00	-1.961914e+00
2810	0.040000	-1.991211e+00	4.882812e-03	-2.041016e-01	6.103516e-01	0.000000e+00	0.000000e+00	2.491668e-01	1.757718e+00	-1.961914e+00
2810	0.050000	-1.991211e+00	4.882812e-03	-2.431641e-01	6.494141e-01	0.000000e+00	0.000000e+00	3.090769e-01	1.959383e+00	-1.961914e+00
2810	0.060000	-1.991211e+00	4.882812e-03	-3.017578e-01	6.982422e-01	0.000000e+00	0.000000e+00	3.258086e-01	1.984412e+00	-1.952148e+00
2810	0.070000	-1.991211e+00	4.882812e-03	-3.310547e-01	7.373047e-01	0.000000e+00	0.000000e+00	3.739976e-01	2.140101e+00	-1.952148e+00
2810	0.080000	-1.981445e+00	4.882812e-03	-3.798828e-01	7.763672e-01	0.000000e+00	0.000000e+00	3.933791e-01	2.149395e+00	-1.952148e+00
2810	0.090000	-1.981445e+00	4.882812e-03	-4.287109e-01	8.056641e-01	0.000000e+00	0.000000e+00	4.201719e-01	2.183299e+00	-1.952148e+00
2810	0.100000	-1.981445e+00	4.882812e-03	-4.775391e-01	8.349609e-01	0.000000e+00	0.000000e+00	4.312245e-01	2.152800e+00	-1.952148e+00
2810	0.110000	-1.981445e+00	4.882812e-03	-5.166016e-01	8.544922e-01	0.000000e+00	0.000000e+00	4.630320e-01	2.199396e+00	-1.942383e+00
2810	0.120000	-1.981445e+00	4.882812e-03	-5.556641e-01	8.740234e-01	0.000000e+00	0.000000e+00	4.930251e-01	2.241510e+00	-1.942383e+00
2810	0.130000	-1.971680e+00	4.882812e-03	-6.142578e-01	8.935547e-01	0.000000e+00	0.000000e+00	4.800036e-01	2.142093e+00	-1.942383e+00
2810	0.140000	-1.971680e+00	4.882812e-03	-6.630859e-01	9.130859e-01	0.000000e+00	0.000000e+00	5.004403e-01	2.151933e+00	-1.932617e+00
2810	0.150000	-1.971680e+00	4.882812e-03	-7.119141e-01	9.228516e-01	0.000000e+00	0.000000e+00	4.953203e-01	2.089689e+00	-1.932617e+00
2810	0.160000	-1.961914e+00	4.882812e-03	-7.509766e-01	9.326172e-01	0.000000e+00	0.000000e+00	5.141542e-01	2.105470e+00	-1.932617e+00
2810	0.170000	-1.961914e+00	4.882812e-03	-7.900391e-01	9.326172e-01	0.000000e+00	0.000000e+00	5.304533e-01	2.120636e+00	-1.922852e+00
2810	0.180000	-1.952148e+00	4.882812e-03	-8.486328e-01	9.423828e-01	0.000000e+00	0.000000e+00	5.007462e-01	1.991964e+00	-1.922852e+00
2810	0.190000	-1.952148e+00	4.882812e-03	-8.876953e-01	9.423828e-01	0.000000e+00	0.000000e+00	5.115989e-01	1.998567e+00	-1.913086e+00
2810	0.200000	-1.942383e+00	4.882812e-03	-9.365234e-01	9.423828e-01	0.000000e+00	0.000000e+00	5.159700e-01	1.983364e+00	-1.913086e+00
2810	0.210000	-1.942383e+00	4.882812e-03	-9.853516e-01	9.423828e-01	0.000000e+00	0.000000e+00	5.010109e-01	1.917718e+00	-1.903320e+00
2810	0.220000	-1.932617e+00	4.882812e-03	-1.024414e+00	9.326172e-01	0.000000e+00	0.000000e+00	5.017036e-01	1.910312e+00	-1.903320e+00
2810	0.230000	-1.932617e+00	4.882812e-03	-1.063477e+00	9.228516e-01	0.000000e+00	0.000000e+00	4.961072e-01	1.886523e+00	-1.893555e+00
2810	0.240000	-1.922852e+00	4.882812e-03	-1.112305e+00	9.130859e-01	0.000000e+00	0.000000e+00	4.907248e-01	1.861326e+00	-1.883789e+00
2810	0.250000	-1.913086e+00	4.882812e-03	-1.151367e+00	9.033203e-01	0.000000e+00	0.000000e+00	4.834333e-01	1.832647e+00	-1.883789e+00
2810	0.260000	-1.913086e+00	4.882812e-03	-1.190430e+00	8.837891e-01	0.000000e+00	0.000000e+00	4.697466e-01	1.799864e+00	-1.874023e+00
2810	0.270000	-1.903320e+00	4.882812e-03	-1.229492e+00	8.740234e-01	0.000000e+00	0.000000e+00	4.610523e-01	1.767585e+00	-1.864258e+00
2810	0.280000	-1.893555e+00	4.882812e-03	-1.278320e+00	8.447266e-01	0.000000e+00	0.000000e+00	4.005585e-01	1.601240e+00	-1.854492e+00
2810	0.290000	-1.883789e+00	4.882812e-03	-1.307617e+00	8.251953e-01	0.000000e+00	0.000000e+00	4.160474e-01	1.666166e+00	-1.844727e+00
2810	0.300000	-1.874023e+00	4.882812e-03	-1.346680e+00	8.056641e-01	0.000000e+00	0.000000e+00	3.952290e-01	1.609425e+00	-1.834961e+00
2810	0.310000	-1.864258e+00	4.882812e-03	-1.385742e+00	7.763672e-01	0.000000e+00	0.000000e+00	3.643527e-01	1.534546e+00	-1.825195e+00
2810	0.320000	-1.854492e+00	4.882812e-03	-1.424805e+00	7.470703e-01	0.000000e+00	0.000000e+00	3.337801e-01	1.456425e+00	-1.815430e+00
2810	0.330000	-1.844727e+00	4.882812e-03	-1.454102e+00	7.177734e-01	0.000000e+00	0.000000e+00	3.065675e-01	1.385914e+00	-1.805664e+00
2810	0.340000	-1.834961e+00	4.882812e-03	-1.493164e+00	6.787109e-01	0.000000e+00	0.000000e+00	2.680589e-01	1.282723e+00	-1.795898e+00
2810	0.350000	-1.825195e+00	4.882812e-03	-1.512695e+00	6.494141e-01	0.000000e+00	0.000000e+00	2.572217e-01	1.270837e+00	-1.776367e+00
2810	0.360000	-1.815430e+00	4.882812e-03	-1.541992e+00	6.201172e-01	0.000000e+00	0.000000e+00	2.470754e-01	1.247123e+00	-1.766602e+00
2810	0.370000	-1.805664e+00	4.882812e-03	-1.571289e+00	5.712891e-01	0.000000e+00	0.000000e+00	2.026884e-01	1.131693e+00	-1.756836e+00
2810	0.380000	-1.786133e+00	4.882812e-03	-1.590820e+00	5.322266e-01	0.000000e+00	0.000000e+00	1.883118e-01	1.106026e+00	-1.747070e+00
