case	level	Oh	time	H_main_center	dHdt	z_all	z_main	cavity_z_base	r_j_outer_base	liquid_components	q_jet	Q_j	flux_note
2808	8	0.01	0.400000	-1.7554511	1.68337272	0.0227606362	0.0227606362	-1.761719	0.01953125	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.410000	-1.73781403	1.85905837	0.0233537351	0.0233537351	-1.722656	0.05859375	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.420000	-1.71826994	2.13500453	0.0238073323	0.0238073323	-1.722656	0.01953125	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.430000	-1.69511394	2.56205926	0.0242134722	0.0242134722	-1.683594	0.01953125	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.440000	-1.66702875	3.31242179	0.0248624377	0.0248624377	-1.683594	0.01953125	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.450000	-1.6288655	4.73911531	0.0252144054	0.0252144054	-1.644531	0.01953125	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.460000	-1.57224645	19.4886424	0.0259764658	0.0259764658	-1.566406	0.01953125	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.470000	-1.23909265	27.160399	0.026563505	0.026563505	-1.253906	0.05859375	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.480000	-1.02903847	20.4153006	0.0273064857	0.0273064857	-1.136719	0.1367188	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.490000	-0.830786641	16.3571877	0.0281116699	0.0281116699	-1.097656	0.2148438	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.500000	-0.701894711	12.10048	0.0287995281	0.0287995281	-1.019531	0.1757812	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.510000	-0.588777041	12.1964067	0.029769803	0.029769803	-0.9804688	0.2148438	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.520000	-0.457966578	13.0297484	0.0304463185	0.0304463185	-0.9414062	0.2539062	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.530000	-0.328182073	12.860452	0.0315128152	0.0315128152	-0.9414062	0.3320312	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.540000	-0.200757539	10.6806188	0.0322907337	0.0322907337	-0.9023438	0.3320312	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.550000	-0.114569697	8.34265238	0.0333029511	0.0333029511	-0.8632812	0.2929688	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.560000	-0.0339044915	8.78055488	0.0341066293	0.0341066293	-0.8632812	0.3710938	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.570000	0.0610414003	9.59985323	0.0610414003	0.0610414003	-0.8242188	0.3710938	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.580000	0.158092573	10.271839	0.158092573	0.158092573	-0.8242188	0.4101562	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.590000	0.26647818	11.4056108	0.26647818	0.26647818	-0.7851562	0.3710938	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.600000	0.386204788	11.2843555	0.386204788	0.386204788	-0.7851562	0.4492188	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.610000	0.492165291	9.84477139	0.492165291	0.492165291	-0.7460938	0.4101562	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.620000	0.583100216	8.7736123	0.583100216	0.583100216	-0.7460938	0.4492188	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.630000	0.667637537	-5.45314181	0.667637537	0.667637537	-0.7460938	0.4882812	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.640000	0.47403738	-6.98212607	0.754993827	0.47403738	-0.7070312	0.4492188	2	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.650000	0.527995015	5.39159511	0.848994963	0.527995015	-0.7070312	0.4882812	2	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.660000	0.581869282	5.10375118	0.947029194	0.581869282	-0.7070312	0.5273438	2	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.670000	0.630070039	4.63360277	1.03995533	0.630070039	-0.6679688	0.4882812	2	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.680000	0.674541337	4.5226173	1.14020561	0.674541337	-0.6679688	0.4882812	2	NA	NA	getJetFoot candidate did not match robust getBase outer base
2808	8	0.01	0.690000	0.720522385	4.67359222	1.24417876	0.720522385	-0.6679688	0.5273438	2	NA	NA	getJetFoot candidate did not match robust getBase outer base
2809	8	0.01	0.400000	-1.7554511	1.68337272	0.0227606362	0.0227606362	-1.761719	0.01953125	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2809	8	0.01	0.410000	-1.73781403	1.85905837	0.0233537351	0.0233537351	-1.722656	0.05859375	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
2809	8	0.01	0.420000	-1.71826994	2.13500453	0.0238073323	0.0238073323	-1.722656	0.01953125	1	NA	NA	getJetFoot candidate did not match robust getBase outer base
