target_time_ms	sampled_time_ms	center_material_plic_height_mm	outer_material_plic_height_mm	experiment_first_jet_target_mm	first_jet_error_mm	verdict	interface_file
17.5	17.500000	8.145293	7.322093	NA	NA	MORPHOLOGY_REVIEW	interface-00.01750.dat
30	30.000000	8.450089	7.353089	NA	NA	MORPHOLOGY_REVIEW	interface-00.03000.dat
42	42.000000	8.637700	7.428500	NA	NA	MORPHOLOGY_REVIEW	interface-00.04200.dat
52.5	52.500000	9.144950	7.186050	105.80	-96.655050	FAIL	interface-00.05250.dat
65	65.000000	10.375532	6.529832	NA	NA	MORPHOLOGY_REVIEW	interface-00.06500.dat
77.5	77.500000	12.017495	4.053295	NA	NA	MORPHOLOGY_REVIEW	interface-00.07750.dat
96	96.000000	14.509516	-1.397584	NA	NA	MORPHOLOGY_REVIEW	interface-00.09600.dat
110	110.000000	16.307079	9.683079	NA	NA	MORPHOLOGY_REVIEW	interface-00.11000.dat
125	125.000000	17.556680	10.124680	NA	NA	MORPHOLOGY_REVIEW	interface-00.12500.dat
143.5	143.500000	17.462594	13.345594	NA	NA	MORPHOLOGY_REVIEW	interface-00.14350.dat
160	160.000000	16.781657	14.954657	NA	NA	MORPHOLOGY_REVIEW	interface-00.16000.dat
